;text;result;predict_cl
1087;разъяснения от упмб;фз – отказ клиента;отказ
1088;планирует полное досрочное гашение;фз – отказ клиента;досрочное гашение
1089;кредит есть действующий;отказ нет потребности;есть кредит
1090;кредит закрыт нет потребности;отказ нет потребности;не нужен\не может\не хочет
1091;не пользуются кредитными средствами;отказ нет потребности;отказ
1092;ведение деятельности менее мес;отказ нет потребности;не ведет деятельность
1093;обходятся собственными средсвами;отказ нет потребности;не нужен\не может\не хочет
1094;орг я не кредитуется;отказ нет потребности;отказ
1095;отправлено ком предложение;отказ нет потребности;выполнено
1096;на просроччке;отказ не устр параметры;просрочка
1097;переведен счет в офис;отказ нет потребности;счет закрыт
1098;являются поручителями;отказ нет потребности;голов. комп
1099;отказ хватает собственных средств;отказ нет потребности;отказ
1100;не планирует ничего приобретать;отказ нет потребности;отказ
1101;сейчас не актуально;отказ нет потребности;не нужен\не может\не хочет
1102;работают со сторонним банком;отказ сотруднич с др банком;др банк
1103;учредитель нерезидент кредитование невозможно;отказ не устр параметры;отказ
1104;ликвидация г;отказ не устр параметры;ликвидация
1105;временно приостановили деятельность;отказ нет потребности;не ведет деятельность
1106;отказ не кредитуются;отказ нет потребности;отказ
1107;не кредитуются категорический отказ;отказ нет потребности;отказ категорический
1108;обх ся собственными средствами;отказ нет потребности;не нужен\не может\не хочет
1109;кредитование совершенно не интересно;отказ нет потребности;не нужен\не может\не хочет
1110;задние принаджлежит учредителю;отказ нет потребности;голов. комп
1111;клиент умер;отказ нет потребности;мусор
1112;км еремеева н;отказ нет потребности;км
1113;реструктур не требуется;отказ нет потребности;отказ от реструктуризации
1114;просрочник;фз – отказ клиента;не соответсвует требованиям
1115;не участвует в торгах;отказ нет потребности;не нужен\не может\не хочет
1116;кредитные средства не нужны;отказ нет потребности;не нужен\не может\не хочет
1117;клиент не проинформировать клиента;отказ нет потребности;не нужен\не может\не хочет
1118;компания в архиве;отказ нет потребности;не ведет деятельность
1119;финансирование контрактов не требуется;отказ нет потребности;не нужен\не может\не хочет
1120;продукт предложен;отказ треб продукт отсут ет;выполнено
1121;иное не интересно кредитование;отказ нет потребности;не нужен\не может\не хочет
1122;пользуются исключительно собственными средствами;отказ нет потребности;не нужен\не может\не хочет
1123;фин организация брокеры;отказ нет потребности;не соответсвует требованиям
1124;кредит не нужен;отказ категорический отказ;не нужен\не может\не хочет
1125;привлекать финансирование не планируют;отказ категорический отказ;не нужен\не может\не хочет
1126;клиент закрывает счет;отказ нет потребности;счет закрыт
1127;кредит не расматривают вообще;отказ нет потребности;отказ
1128;ставка высокая пока отказываются;отказ не устр параметры;отказ
1129;плохая ки;отказ не устр параметры;не соответсвует требованиям
1130;недозвон неберут трубку;отказ нет потребности;не ответили
1131;клиента кредитование не интересует;отказ категорический отказ;не нужен\не может\не хочет
1132;клиент испытывает временные трудности;отказ нет потребности;отказ
1133;пл кред история;отказ нет потребности;не соответсвует требованиям
1134;проведена в апреле;отказ продукт уже есть;выполнено
1135;дс не требуется;фз – отказ клиента;не нужен\не может\не хочет
1136;финансирование не интересно;отказ нет потребности;не нужен\не может\не хочет
1137;клиент гк имплозия ксб;отказ нет потребности;не соответсвует требованиям
1138;согласовано;отказ нет потребности;выполнено
1139;кредит закрыт досрочно;отказ треб продукт отсут ет;досрочное гашение
1140;обещала но не пришла;фз – отказ клиента;не нужен\не может\не хочет
1141;группа компаний нет потребности;отказ нет потребности;не нужен\не может\не хочет
1142;не кредитуются потребности нет;отказ нет потребности;не нужен\не может\не хочет
1143;потербность в продуктах отсувует;отказ нет потребности;не нужен\не может\не хочет
1144;необходимости в кредитах нет;отказ нет потребности;не нужен\не может\не хочет
1145;нам не нужно;отказ треб продукт отсут ет;не нужен\не может\не хочет
1146;бросили трубку;отказ нет потребности;не разговаривают
1147;рсетруктуризация не требуется;отказ нет потребности;не нужен\не может\не хочет
1148;харциз отказ от реструктуризации;отказ нет потребности;реструктуризация
1149;клиент прошел мастер подключенияподключению;отказ нет потребности;отказ
1150;пользуеся только бг;отказ нет потребности;др продукт сб
1151;помещение в собственности;отказ нет потребности;реорганизация
1152;пока нет портебности подумает;отказ нет потребности;думает
1153;провели переговоры;отказ нет потребности;выполнено
1154;прокредитовался в др банке;отказ нет потребности;др банк
1155;сергей ал сергей геннад;отказ нет потребности;мусор
1156;не кредитуется организация;отказ нет потребности;отказ
1157;кредитование для клиента неинтересно;отказ нет потребности;не нужен\не может\не хочет
1158;кредиты клиенту не нужны;отказ нет потребности;не нужен\не может\не хочет
1159;клиент кредитуется у нас;отказ нет потребности;отказ
1160;клиент нелоялен к банку;отказ категорический отказ;не лоялен 
1161;деятельность орг ции приостановлена;отказ категорический отказ;не ведет деятельность
1162;организация удаленная;отказ нет потребности;не ведет деятельность
1163;руководители жители кнр отказались;отказ нет потребности;отказ
1164;нет потребности обьемы падают;отказ нет потребности;не нужен\не может\не хочет
1165;был отказ;отказ нет потребности;не соответсвует требованиям
1166;клиента не интересуют услуги;отказ нет потребности;не нужен\не может\не хочет
1167;клиент отказался от пролонгации;отказ нет потребности;отказ
1168;кредит гсл;отказ нет потребности;др продукт сб
1169;потребности в лизинге нет;отказ нет потребности;не нужен\не может\не хочет
1170;отказ достаточно собственных средств;отказ нет потребности;отказ
1171;отказался;отказ нет потребности;отказ
1172;клиента не интерсует;отказ нет потребности;не нужен\не может\не хочет
1173;попросили перезвонить руководитель отсутствует;отказ треб продукт отсут ет;звонок
1174;большая задолженность;отказ нет потребности;не соответсвует требованиям
1175;клиент не рассматривает рефин;отказ нет потребности;отказ
1176;кредитуется в сбере;отказ продукт уже есть;есть кредит
1177;клиент закрыл расчетный счет;отказ сотруднич с др банком;счет закрыт
1178;клиент умер;фз – отказ клиента;мусор
1179;кредиты погашены полностью;фз – отказ клиента;погашен
1180;кредитование лизинг не интересно;отказ нет потребности;не нужен\не может\не хочет
1181;отках от встречи;отказ нет потребности;отказ
1182;сегмент скб;отказ нет потребности;сегмент
1183;ук не кредитуется;отказ нет потребности;отказ
1184;бухгалтер передаст информацию руководителю;отказ нет потребности;выполнено
1185;клиент интереса не проявил;отказ нет потребности;не нужен\не может\не хочет
1186;осуществить звонок в феврале;отказ нет потребности;звонок
1187;не нуждаются в кредите;отказ не устр параметры;не нужен\не может\не хочет
1188;кредитование не требуется;отказ категорический отказ;не нужен\не может\не хочет
1189;отказ кк;отказ нет потребности;отказ
1190;пока не готов;отказ не устр параметры;отказ
1191;р с клиент закрыл;отказ не лоялен к банку;счет закрыт
1192;работает за наличку;отказ нет потребности;не нужен\не может\не хочет
1193;потребности не выявлено;отказ нет потребности;не нужен\не может\не хочет
1194;возможно позже;отказ нет потребности;надежда есть
1195;зи отказ не кредитуются;отказ нет потребности;отказ
1196;тсж кредитование не интересует;отказ нет потребности;не нужен\не может\не хочет
1197;уже оформили кредит;отказ нет потребности;есть кредит
1198;уже оформила кредит;отказ нет потребности;есть кредит
1199;высокие ставки;отказ нет потребности;дорогие тарифы
1200;отказ предложение не интересно;отказ нет потребности;отказ
1201;красикова отказ от реструктуризации;отказ нет потребности;реструктуризация
1202;пока нет проектов;отказ нет потребности;пока
1203;обходятся своими ср вами;отказ нет потребности;не нужен\не может\не хочет
1204;ооо не работает;отказ нет потребности;не ведет деятельность
1205;организация не осуществляет деятельность;отказ нет потребности;не ведет деятельность
1206;заемщик закрыл кредит досрочно;отказ нет потребности;досрочное гашение
1207;кредит закрыт;фз – отказ клиента;погашен
1208;не понятна суть задачи;отказ нет потребности;км
1209;фз отказ клиента;фз – отказ клиента;отказ
1210;закрыт;отказ треб продукт отсут ет;счет закрыт
1211;клиент не пользуется кредитованием;отказ не устр параметры;отказ
1212;фз;отказ не устр параметры;счет закрыт
1213;отказ нет потребности;отказ нет потребности;не нужен\не может\не хочет
1214;пока вкредитах не нуждаются;отказ нет потребности;не нужен\не может\не хочет
1215;потребность в кредите отсутствует;отказ нет потребности;не нужен\не может\не хочет
1216;была переоценка залога упала;отказ не устр параметры;выполнено
1217;клиент испытывает финансовые документы;отказ нет потребности;много документов
1218;сергей иванович;отказ нет потребности;мусор
1219;отказ фирма только открылась;отказ нет потребности;не ведет деятельность
1220;актуально в сентябре;отказ нет потребности;не нужен\не может\не хочет
1221;отказ не требуется;отказ нет потребности;отказ
1222;отказ кред хватает средсвт;отказ нет потребности;отказ
1223;пользуется исключительно гарантиями;отказ категорический отказ;др продукт сб
1224;отказ клиента от услуги;отказ нет потребности;отказ
1225;без комиссии перечисляются;отказ нет потребности;дорогие тарифы
1226;р переговоры прошли неудачно;отказ нет потребности;выполнено
1227;имеется исполнит произв;отказ нет потребности;мусор
1228;не интересует кредитование;отказ не устр параметры;не нужен\не может\не хочет
1229;закрыли;отказ нет потребности;счет закрыт
1230;хвтает средств в обороте;отказ нет потребности;не нужен\не может\не хочет
1231;кредитные деньги не нужны;отказ нет потребности;надежда есть
1232;ооо;отказ не устр параметры;не ведет деятельность
1233;отказ фз;отказ нет потребности;отказ
1234;лиизнг не интересует;отказ нет потребности;не нужен\не может\не хочет
1235;работают в московском банке;отказ нет потребности;др банк
1236;пока не планировал;отказ нет потребности;пока
1237;ксб группа;отказ категорический отказ;не нужен\не может\не хочет
1238;свои средства в бизнесе;отказ нет потребности;не нужен\не может\не хочет
1239;возможно в августе;отказ нет потребности;надежда есть
1240;отказ не устраивает;отказ не устр параметры;отказ
1241;отказ от встречи;отказ не устр параметры;отказ
1242;не нуждается в продукте;отказ нет потребности;не нужен\не может\не хочет
1243;кредитный договор закрыт;отказ нет потребности;погашен
1244;категорически отказываются от встречи;отказ категорический отказ;отказ категорический
1245;обращался отказ;отказ нет потребности;отказ
1246;закрепление за другим км;отказ не устр параметры;км
1247;возможна гарантия;отказ нет потребности;надежда есть
1248;проведены переговоры отказ клиента;отказ нет потребности;отказ
1249;продукты банка не интересны;отказ нет потребности;не нужен\не может\не хочет
1250;нет деят ти;отказ нет потребности;не ведет деятельность
1251;кредит не интересен;отказ нет потребности;не нужен\не может\не хочет
1252;рефинанс не иетересует;отказ нет потребности;не нужен\не может\не хочет
1253;жесткий отказ;отказ не устр параметры;отказ
1254;yt y lftncz;отказ не устр параметры;мусор
1255;у клиента нет кредитов;отказ нет потребности;не нужен\не может\не хочет
1256;не сезон;отказ нет потребности;небольшие обороты
1257;данные услуги не интересуют;отказ нет потребности;не нужен\не может\не хочет
1258;кредитование неактуально;отказ нет потребности;отказ
1259;есть действующий кредит;отказ продукт уже есть;есть кредит
1260;нажал нечаянно на кнопку;отказ нет потребности;ошибка выборки
1261;нет потребности евгений;отказ нет потребности;не нужен\не может\не хочет
1262;клиент всп;отказ нет потребности;др банк
1263;большая финансовая загруженность;отказ нет потребности;не соответсвует требованиям
1264;кредит пробовала брать отказали;отказ нет потребности;отказ
1265;достаточно собственных средств отказ;отказ нет потребности;отказ
1266;грузоперевозки не устраивают проценты;отказ нет потребности;условия
1267;нет птребности в кредитовании;отказ нет потребности;не нужен\не может\не хочет
1268;нет нужды в кредите;отказ нет потребности;не нужен\не может\не хочет
1269;отказ платит по графику;отказ нет потребности;отказ
1270;кредитуется как ип;отказ нет потребности;фл
1271;в взял кредит млн;отказ нет потребности;есть кредит
1272;возможно будут ликвидировать ооо;отказ нет потребности;ликвидация
1273;не лоялен;отказ не лоялен к банку;не лоялен 
1274;нет потребности в кредит;отказ нет потребности;не нужен\не может\не хочет
1275;не интересны предложения банка;отказ нет потребности;не нужен\не может\не хочет
1276;предложен зпп подумает;отказ нет потребности;думает
1277;в кредитовании потребность отсутствует;отказ нет потребности;не нужен\не может\не хочет
1278;дорого не устраивают условия;отказ не устр цена продукта;дорогие тарифы
1279;клиент в процедуре банкротства;отказ нет потребности;банкротство
1280;т отказ нет потребности;отказ нет потребности;не нужен\не может\не хочет
1281;отказ клиент находится удаленно;отказ категорический отказ;территориально
1282;клиент кредиты не использует;отказ категорический отказ;не нужен\не может\не хочет
1283;гк сожружество сегмент ксб;отказ нет потребности;сегмент
1284;достаточно собствеенных средств;отказ нет потребности;не нужен\не может\не хочет
1285;проблемный клиент в кредитовании;отказ не лоялен к банку;не соответсвует требованиям
1286;отсутствует потребность;отказ не устр параметры;не нужен\не может\не хочет
1287;нет потребности подрядчик сбербанка;отказ нет потребности;не нужен\не может\не хочет
1288;лесозагот перераб;отказ нет потребности;мусор
1289;клиент не кредитуеться;отказ нет потребности;не нужен\не может\не хочет
1290;не занимается сельским хозяйством;отказ нет потребности;не нужен\не может\не хочет
1291;переговоры проведены с клиентом;отказ нет потребности;выполнено
1292;общается с км носковой;отказ нет потребности;км
1293;клиент имеет убыток млн;отказ нет потребности;проблемы
1294;имеет кредитный продукт доверие;отказ нет потребности;есть кредит
1295;поак нет потребности;отказ нет потребности;не нужен\не может\не хочет
1296;финансирует вышестоящая оао тяжмаш;отказ нет потребности;не соответсвует требованиям
1297;озвучены условия по кредитованию;отказ нет потребности;выполнено
1298;отказ не креди;отказ нет потребности;отказ
1299;реструктуризая не тебуется;отказ нет потребности;отказ от реструктуризации
1300;клиент не кредитуется;отказ категорический отказ;отказ
1301;кредитные ресурсы не требуются;отказ нет потребности;отказ
1302;телефон клиента отключен недозвон;отказ нет потребности;не ответили
1303;назначена встреча в компасе;отказ сотруднич с др банком;надежда есть
1304;клиент рассматривает бизнес недвижимость;отказ нет потребности;не нужен\не может\не хочет
1305;клиент взял кредит уже;отказ нет потребности;есть кредит
1306;нет потребности в ик;отказ нет потребности;не нужен\не может\не хочет
1307;ничего не нужно;отказ не устр параметры;не нужен\не может\не хочет
1308;организаця не кредитуется;отказ нет потребности;отказ
1309;кредит закрыт нет потребности;отказ нет потребности;не нужен\не может\не хочет
1310;при необходимости обратятся;отказ нет потребности;не нужен\не может\не хочет
1311;зи не интересует;отказ нет потребности;не нужен\не может\не хочет
1312;кредитуются по доверию сумма;отказ продукт уже есть;др банк
1313;не планирует получать кредит;отказ нет потребности;не нужен\не может\не хочет
1314;если нужно будет обратятся;отказ нет потребности;не нужен\не может\не хочет
1315;деятельность времнно приостановлена;отказ нет потребности;не ведет деятельность
1316;нет потребности;отказ нет потребности;не нужен\не может\не хочет
1317;на контакт не идут;отказ не лоялен к банку;нет контактов
1318;закрыт расчетный счет;отказ нет потребности;счет закрыт
1319;не планирует кредитоваться отказ;отказ нет потребности;отказ
1320;р сч закрыт;отказ нет потребности;счет закрыт
1321;пользуются своими деньгами;отказ нет потребности;не нужен\не может\не хочет
1322;директор находиться в командировке;отказ сотруднич с др банком;нет на месте
1323;тказ не устр параметры;отказ не устр параметры;условия
1324;нет потребности в кредите;отказ категорический отказ;не нужен\не может\не хочет
1325;у нас только зп;отказ сотруднич с др банком;погашен
1326;встреча с клиентом;отказ нет потребности;надежда есть
1327;подумает потребности нет;отказ нет потребности;думает
1328;все кредиты погасли досрочно;отказ не устр параметры;погашен
1329;нет проблем с бизнесом;отказ нет потребности;не нужен\не может\не хочет
1330;задача выставлена некорректно;отказ нет потребности;дубль
1331;выполнено продукт используется организацией;отказ продукт уже есть;выполнено
1332;некорректные контактные данные клиента;отказ нет потребности;нет контактов
1333;будет после мая;отказ нет потребности;надежда есть
1334;высокие ставки по кредиту;отказ не устр параметры;дорогие тарифы
1335;не расссматривает кредитование;отказ нет потребности;отказ
1336;работает по предоплате;отказ нет потребности;не нужен\не может\не хочет
1337;отказ э ипотека высокий;отказ не устр параметры;отказ
1338;просрочник;отказ не устр параметры;не соответсвует требованиям
1339;владимир владимирович;отказ нет потребности;мусор
1340;наталья геннадьевна нет необходимости;отказ нет потребности;не нужен\не может\не хочет
1341;отказ кредитуется по кф;отказ нет потребности;отказ
1342;маль фот;отказ нет потребности;мусор
1343;отказ нет интереса;отказ нет потребности;отказ
1344;клиентка подумает;отказ нет потребности;думает
1345;отработано в компасе;отказ категорический отказ;выполнено
1346;отказ от встречи;отказ нет потребности;отказ
1347;отказ зпп;отказ нет потребности;отказ
1348;не кредитуются потребнсоти нет;отказ не устр параметры;не нужен\не может\не хочет
1349;не кредитуемся;отказ нет потребности;не нужен\не может\не хочет
1350;продукт не интересен;отказ категорический отказ;не нужен\не может\не хочет
1351;нет потрбености;отказ нет потребности;не нужен\не может\не хочет
1352;пока нет необходимости;отказ не устр параметры;не нужен\не может\не хочет
1353;закрыли счета г;отказ не устр параметры;счет закрыт
1354;сложная ситуация для кредитования;отказ нет потребности;отказ
1355;dsgjkytyj;отказ продукт уже есть;мусор
1356;клиент проинформирован;отказ нет потребности;выполнено
1357;не требуются счета фактуры;отказ нет потребности;не нужен\не может\не хочет
1358;только недавно звонили;отказ нет потребности;не нужен\не может\не хочет
1359;нет потребности в рефенансировании;отказ нет потребности;не нужен\не может\не хочет
1360;не утсраивают тарифы;отказ не устр параметры;дорогие тарифы
1361;вновь организованная организация;отказ нет потребности;не ведет деятельность
1362;деятельность организации не ведется;отказ нет потребности;не ведет деятельность
1363;кредит уже закрыт;фз – отказ клиента;погашен
1364;не интересуют кредитные продукты;отказ нет потребности;не нужен\не может\не хочет
1365;компания не ведет деятельности;отказ нет потребности;не ведет деятельность
1366;рейтинг выше;отказ категорический отказ;надежда есть
1367;клиент не кредитуется;отказ не устр параметры;отказ
1368;когда возникнет потребность обратится;отказ нет потребности;не нужен\не может\не хочет
1369;нет потребности клиент проинформирован;отказ нет потребности;не нужен\не может\не хочет
1370;yt gkfybhe n rhtlbnjdfnmcz;отказ нет потребности;мусор
1371;нет потреб;отказ не устр параметры;не нужен\не может\не хочет
1372;кредитованием не пользуются;отказ треб продукт отсут ет;отказ
1373;недостаточный срок ведения деятельности;отказ нет потребности;не ведет деятельность
1374;организация не ведет деятельности;отказ нет потребности;не ведет деятельность
1375;ольга александровна;отказ нет потребности;мусор
1376;не устраивает диапазон ставок;отказ не устр параметры;условия
1377;консультация оказана нет потребности;отказ нет потребности;не нужен\не может\не хочет
1378;клиен отказался;отказ нет потребности;отказ
1379;закрывает свою деятельность;отказ нет потребности;не ведет деятельность
1380;ничего приобретать не планируют;отказ нет потребности;не нужен\не может\не хочет
1381;в лизинге не нуждается;отказ нет потребности;не нужен\не может\не хочет
1382;реструктуризация не требуется;отказ не устр параметры;отказ от реструктуризации
1383;клиент надымского осб;отказ сотруднич с др банком;отказ
1384;нет потребности в кредито;отказ нет потребности;не нужен\не может\не хочет
1385;предложена корпкарта подумает;отказ нет потребности;думает
1386;заинтересованности нет отказ клиента;отказ нет потребности;отказ
1387;нет потребности в куредитовании;отказ нет потребности;не нужен\не может\не хочет
1388;не рассматривает кредиты;отказ нет потребности;отказ
1389;в данный момент неинтересно;отказ нет потребности;пока
1390;потребности в кредиватовании нет;отказ нет потребности;не нужен\не может\не хочет
1391;ликвидация по данным спарка;отказ не лоялен к банку;ликвидация
1392;тяжело платить действующий кредит;отказ нет потребности;проблемы
1393;татьяна нет потребности;отказ нет потребности;не нужен\не может\не хочет
1394;предложение не актуально;отказ не устр параметры;не нужен\не может\не хочет
1395;деят ть организации прекращена;отказ нет потребности;не ведет деятельность
1396;клиент не является сельхозпроизводителем;отказ нет потребности;не нужен\не может\не хочет
1397;у ип прекращена деятеьность;отказ нет потребности;не ведет деятельность
1398;клиент от кредитования отказался;отказ не устр параметры;отказ
1399;нет потребности встречаться отказывается;отказ нет потребности;не нужен\не может\не хочет
1400;конкурсное управление;отказ нет потребности;отказ
1401;актуально кредитование на недвижимость;отказ нет потребности;не нужен\не может\не хочет
1402;отказ нет необходимости;отказ нет потребности;отказ
1403;кредитование не нужно;отказ нет потребности;не нужен\не может\не хочет
1404;клиент несоответ треб банка;отказ нет потребности;не нужен\не может\не хочет
1405;оквед кредитовать не можем;отказ нет потребности;не нужен\не может\не хочет
1406;не имеет;отказ нет потребности;не нужен\не может\не хочет
1407;интересен лизинг;отказ нет потребности;др продукт сб
1408;не залога;отказ не устр параметры;не нужен\не может\не хочет
1409;нет потребности клиент отказался;отказ нет потребности;не нужен\не может\не хочет
1410;будет кредитоваться в августе;отказ категорический отказ;отказ
1411;сейчас нет потребности;отказ нет потребности;не нужен\не может\не хочет
1412;кредит пока не интересует;отказ нет потребности;не нужен\не может\не хочет
1413;есть проблемные кредиты просрочки;отказ нет потребности;не соответсвует требованиям
1414;кредитуют только связанного ип;отказ нет потребности;др продукт сб
1415;не сейчас не устраивают;отказ не устр параметры;не нужен\не может\не хочет
1416;наталья александровна отказ;отказ нет потребности;мусор
1417;обходятся собтвенными средствами;отказ нет потребности;не нужен\не может\не хочет
1418;услугу не установили;отказ нет потребности;не нужен\не может\не хочет
1419;обдумает координаты оставлены;отказ нет потребности;думает
1420;нет необходимости пока;отказ нет потребности;не нужен\не может\не хочет
1421;отказ платежи выдерживает;отказ нет потребности;отказ
1422;данная компания не работает;отказ нет потребности;не ведет деятельность
1423;работають с декабря;отказ нет потребности;новая компания
1424;отказ счет закрыт;отказ нет потребности;счет закрыт
1425;не действующея организация;отказ нет потребности;не ведет деятельность
1426;работают только с использованием;отказ нет потребности;др продукт сб
1427;информация учтена;отказ сотруднич с др банком;выполнено
1428;пока кредитование не актуально;отказ нет потребности;пока
1429;отказ от сотрудничества негатив;отказ нет потребности;не лоялен 
1430;кредиты не предлагать;отказ категорический отказ;не нужен\не может\не хочет
1431;поликарбонат;отказ нет потребности;мусор
1432;слишком высокие тарифы;отказ не устр параметры;дорогие тарифы
1433;отказ от всего;отказ нет потребности;отказ
1434;кредитование лизинг не интересует;отказ нет потребности;не нужен\не может\не хочет
1435;имеет кредит доверие;отказ нет потребности;есть кредит
1436;отказ переходить в сб;отказ не лоялен к банку;не лоялен 
1437;проблемы с залогом;отказ не устр параметры;не нужен\не может\не хочет
1438;клиент не хочет кредитоваться;отказ нет потребности;не нужен\не может\не хочет
1439;отказ от подписания соглашения;фз – отказ клиента;отказ
1440;фабрика;фз – отказ клиента;мусор
1441;александр викторович отказался разговать;отказ не лоялен к банку;мусор
1442;у клиента есть продукт;отказ нет потребности;др продукт сб
1443;не нуждается;отказ нет потребности;не нужен\не может\не хочет
1444;нет потреб;отказ нет потребности;не нужен\не может\не хочет
1445;организация продана;отказ нет потребности;не ведет деятельность
1446;не соответствует требованию банка;отказ нет потребности;не соответсвует требованиям
1447;деятельность прекращена;отказ нет потребности;не ведет деятельность
1448;ип закрыт;отказ нет потребности;не ведет деятельность
