;text;cl_n;predict_cl
725;рко не устраивает тарифы;дорогие тарифы;дорогие тарифы
726;не интересно отказ;счет есть;отказ
727;клиент не интересуется счетом;не нужен\не может\не хочет;не нужен\не может\не хочет
728;отказ от расч счета;отказ;отказ
729;высокие тарифы по обслуживанию;дорогие тарифы;дорогие тарифы
730;пока потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
731;рс закрыт не клиент;счет закрыт;счет закрыт
732;пока нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
733;предложения не рассматривает;не разговаривают;не разговаривают
734;переговоры проведены;выполнено;выполнено
735;счет открыт в казначействе;казн. + бюджет;казн. + бюджет
736;отказ интересен другой банк;отказ;др банк
737;пока не рассматриваем;не нужен\не может\не хочет;не нужен\не может\не хочет
738;вэд по месту кредитования;отказ;отказ
739;обслуживается в уралсиб;др банк;др банк
740;сезон бизнес;небольшие обороты;небольшие обороты
741;категорический отказ;отказ категорический;отказ категорический
742;счет открыт в уралсиб;др банк;др банк
743;дорого;дорогие тарифы;дорогие тарифы
744;ок номер не актуальный;нет контактов;нет контактов
745;телефон не отвечает;не ответили;не ответили
746;отказ клиента высокие комиссии;дорогие тарифы;дорогие тарифы
747;не захотел разговаривать;не разговаривают;не разговаривают
748;счет работает эквайринг есть;счет есть;счет есть
749;не интересует кредитование;не нужен\не может\не хочет;не нужен\не может\не хочет
750;сотрудничество не рассматривает;счет есть;счет есть
751;звонок осуществлен отказ;отказ;отказ
752;нет потребностей;не нужен\не может\не хочет;не нужен\не может\не хочет
753;выполнено;выполнено;выполнено
754;нет связи с клиентом;нет контактов;нет контактов
755;счета закрыты компания банкрот;банкротство;банкротство
756;деятельность прекращена сббол отключен; не ведет деятельность; не ведет деятельность
757;закрыл счёт;счет закрыт;счет закрыт
758;отказ от переговоров;не разговаривают;не разговаривают
759;счёт расчётный отказался открывать;отказ;отказ
760;не планирует открывать счета;не нужен\не может\не хочет;не нужен\не может\не хочет
761;клиент уже пользуется рко;счет есть;счет есть
762;сотрудников нет;не нужен\не может\не хочет;не нужен\не может\не хочет
763;отказ клиента планируемая ликвидация;ликвидация;ликвидация
764;на ликвидации;ликвидация;ликвидация
765;ликвидировано егрюл;ликвидация;ликвидация
766;дорого для некоммерч организации;дорогие тарифы;дорогие тарифы
767;устраивает уралсиб;др банк;др банк
768;счет открыт в москве;др банк;др банк
769;в стоп листе;ошибка выборки;ошибка выборки
770;не ведут счета;не нужен\не может\не хочет;не нужен\не может\не хочет
771;отказ бюджетная организация;отказ;отказ
772;не рассматривают клиент отказался;отказ;отказ
773;обслуживется в кб авангард;счет есть сб;счет есть сб
774;счет открыт;счет есть;счет есть
775;открыл р с;счет есть;счет есть
776;работает с др банком;др банк;др банк
777;не кредитуется;отказ;отказ
778;телефон клиента не верный;нет контактов;нет контактов
779;назначен повторный звонок;звонок;звонок
780;нет потребности в коредитовании;не нужен\не может\не хочет;не нужен\не может\не хочет
781;нам не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
782;выполнено в полном объеме;выполнено;выполнено
783;бросили трубку;не разговаривают;не разговаривают
784;необходимости в кредитах нет;не нужен\не может\не хочет;не нужен\не может\не хочет
785;рко есть;счет есть сб;счет есть
786;смену банка не планируют;др банк;др банк
787;дорогое рко обслуживание;дорогие тарифы;дорогие тарифы
788;отказ нет потредности;отказ;отказ
789;отказ;отказ;отказ
790;сотрудничают с др банком;др банк;др банк
791;деятельность приостановлена в втб; не ведет деятельность; не ведет деятельность
792;выручка м р;др банк;др банк
793;бизнесс не ведется; не ведет деятельность; не ведет деятельность
794;предложение клиента не заинтересовало;не нужен\не может\не хочет;не нужен\не может\не хочет
795;высланы условия для ознакомления;выполнено;выполнено
796;не устраиваю тарифы банка;дорогие тарифы;дорогие тарифы
797;отказ дорогие тарифы;дорогие тарифы;дорогие тарифы
798;менять ничего не хочет;не нужен\не может\не хочет;не нужен\не может\не хочет
799;клиент в др городе;территориально;территориально
800;откахз;отказ;отказ
801;есть расчет счет;счет есть;счет есть
802;актив банк;др банк;др банк
803;уже обращалась банк отказал;отказ;отказ
804;не интересен переход;счет есть;др банк
805;тарифы сб не устраивают;дорогие тарифы;дорогие тарифы
806;отказ дорого наше обслуживание;дорогие тарифы;дорогие тарифы
807;открыт счет;отказ;счет есть
808;планируется закрытие предприятия; не ведет деятельность; не ведет деятельность
809;прератили деятельность; не ведет деятельность; не ведет деятельность
810;доп счетов не требуется;счет есть;счет есть
811;не ведет вэд;не нужен\не может\не хочет;не нужен\не может\не хочет
812;валютный счет открыт;счет есть;счет есть
813;соглашение с др банком;др банк;др банк
814;ок продукт уже имеется;счет есть;счет есть
815;пока не планируют;отказ;не нужен\не может\не хочет
816;вышестоящая организация не разрешила;голов. комп;голов. комп
817;галина анатольевна;мусор;мусор
818;дорогие тарифы;дорогие тарифы;дорогие тарифы
819;в кредитовании поребности нет;отказ;не нужен\не может\не хочет
820;клиент обслуживается в рсхб;др банк;др банк
821;клиент ип закрыл; не ведет деятельность; не ведет деятельность
822;нет контактных данных;нет контактов;нет контактов
823;потребность в услуге отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
824;гк ксб другой сегмент;сегмент;сегмент
825;клиент в стоп листе;ошибка выборки;ошибка выборки
826;дублирует базу;дубль;дубль
827;не нужно ничего;не нужен\не может\не хочет;не нужен\не может\не хочет
828;устраивают тарифы своего банка;др банк;др банк
829;клиента предложение не заинтересовало;не нужен\не может\не хочет;не нужен\не может\не хочет
830;дорогое обслуживание;дорогие тарифы;дорогие тарифы
831;в снежинском все нравится;др банк;др банк
832;категорически отказывается от продукта;отказ категорический;отказ категорический
833;есть рко;счет есть;счет есть
834;кредит не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
835;ок категорический отказ;отказ категорический;отказ категорический
836;работает в ткпб;др банк;др банк
837;нет актуальных контактов организации;нет контактов;нет контактов
838;категорически не хочет общаться;не нужен\не может\не хочет;не нужен\не может\не хочет
839;клиент работает с втб;др банк;др банк
840;продолжение переговоров нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
841;организация ликвидируется;ликвидация;ликвидация
842;ликвидация предприятия;ликвидация;ликвидация
843;счет закрыт по фз;счет закрыт;счет закрыт
844;счета открыты;счет есть сб;счет есть
845;сотрудничает со связьбанком;др банк;др банк
846;заинтересованности не выявлено;не нужен\не может\не хочет;не нужен\не может\не хочет
847;клиент не доступен;не нужен\не может\не хочет;не нужен\не может\не хочет
848;нет потребности штат человек;не нужен\не может\не хочет;не нужен\не может\не хочет
849;отказываются от встречи;отказ;отказ
850;задача продублирована;дубль;дубль
851;нет все устраивает;др банк;др банк
852;категорически против смены банка;отказ категорический;отказ категорический
853;клиент от встречи отказывается;не разговаривают;отказ
854;сотрудничают с немецкими банками;др банк;др банк
855;не устраивают тарифы рко;дорогие тарифы;дорогие тарифы
856;деятельность ооо приостановлена; не ведет деятельность; не ведет деятельность
857;клиенту неудобно разговаривать;не разговаривают;не разговаривают
858;работают с другим кб;др банк;др банк
859;не устраивают тарифы банка;дорогие тарифы;дорогие тарифы
860;потребности нет отказ;не нужен\не может\не хочет;не нужен\не может\не хочет
861;зи отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
862;отказ в сбрф дорого;дорогие тарифы;дорогие тарифы
863;не планируют переводить счет;др банк;не нужен\не может\не хочет
864;отказ клиента все устраивает;отказ;др банк
865;не нужно отказ;отказ;отказ
866;кредитование не актуально;отказ;не нужен\не может\не хочет
867;ок не устраивают параметры;др банк;условия
868;группа ргс бюджет;казн. + бюджет;казн. + бюджет
869;в сбер не хотят;не лоялен ;не лоялен 
870;счет закрыт догорогое обсдуживание;дорогие тарифы;дорогие тарифы
871;организации уже нет; не ведет деятельность; не ведет деятельность
872;деятельность закрыта ип ликвидировано;ликвидация;ликвидация
873;нет заинтересованности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
874;уже открыт расчетный счет;не лоялен ;счет есть
875;отказ обслуживаются в уфк;казн. + бюджет;казн. + бюджет
876;уже работают в сбрф;счет есть сб;счет есть сб
877;неверный номер квартира;нет контактов;нет контактов
878;есть действующий кредит;счет есть;счет есть
879;дубль;дубль;дубль
880;клиет уже видет счет;счет есть сб;счет есть сб
881;зи клиент давно умер;счет есть сб;счет есть сб
882;работает с другими банком;др банк;др банк
883;отказ работы со сбрф;не лоялен ;не лоялен 
884;клиент отказывается от переговоров;не разговаривают;не разговаривают
885;закрытие ип; не ведет деятельность; не ведет деятельность
886;есть договоред от;счет есть;счет есть
887;расчетный счет закрыт;счет закрыт;счет закрыт
888;имеется действующий р с;счет есть;счет есть
889;бюджетники;казн. + бюджет;казн. + бюджет
890;искать номера;нет контактов;нет контактов
891;не берет трубку недоступен;не ответили;не ответили
892;ок организация ликвидирована;ликвидация;ликвидация
893;рко открыт г;счет есть;счет есть
894;открыли в открытие;др банк;др банк
895;пока не надо;не нужен\не может\не хочет;не нужен\не может\не хочет
896;лояльный клиент скб банка;др банк;др банк
897;высокие тарифы рко;дорогие тарифы;дорогие тарифы
898;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
899;высокие тарифы сб;дорогие тарифы;дорогие тарифы
900;гк имплозия нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
901;кредитование организацию не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
902;организация имеет расчетный счет;счет есть;счет есть
903;км вилков м в;км;км
904;работают с промсвязьбанком;др банк;др банк
905;следующие месяцы дорогое обслуживание;дорогие тарифы;дорогие тарифы
906;отказ потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
907;проведены переговоры рассматривают предложение;выполнено;выполнено
908;не у строили параметры;условия;условия
909;клиент отказался от встречи;отказ;отказ
910;проконсультировала отказ;отказ;отказ
911;компания ликвидируется;ликвидация;ликвидация
912;отказ;отказ;отказ
913;пока нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
914;направлено ком предложение;выполнено;выполнено
915;клиент обслуживаеться в россельхозбанке;др банк;др банк
916;нет потребности убытки;не нужен\не может\не хочет;не нужен\не может\не хочет
917;отказ от рко;отказ;отказ
918;разговор состоялся бюджет;казн. + бюджет;казн. + бюджет
919;деятельность закрытапо данному инн; не ведет деятельность; не ведет деятельность
920;устраивают тарифы другого банка;др банк;др банк
921;работают с другим банком;др банк;др банк
922;клиент придет сам;не нужен\не может\не хочет;не нужен\не может\не хочет
923;негатив к сбербанку;не лоялен ;не лоялен 
924;не планируют открывать счета;не нужен\не может\не хочет;не нужен\не может\не хочет
925;не будет переходить;др банк;др банк
926;организация ликвидирована;ликвидация;ликвидация
927;не интересное предложение;не нужен\не может\не хочет;не нужен\не может\не хочет
928;не клиент;отказ;не нужен\не может\не хочет
929;не устраивает стоимость рко;дорогие тарифы;дорогие тарифы
930;очень дорогое обслуживание;дорогие тарифы;дорогие тарифы
931;клиенту не нужен счёт;не нужен\не может\не хочет;не нужен\не может\не хочет
932;условия не устраивают;условия;условия
933;отказ не хотят переходить;др банк;др банк
934;не отвечают;не ответили;не ответили
935;имп ип закрыто; не ведет деятельность; не ведет деятельность
936;действующее;счет есть;счет есть
937;контакт оставлен;выполнено;выполнено
938;счет закрыт отказ;счет закрыт;счет закрыт
939;имеется счёт;счет есть;счет есть
940;отказ не хотят перев;отказ;отказ
941;открытие счета нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
942;не намерены менять банк;отказ;отказ
943;отказ клиент ликвидировал ип;ликвидация;ликвидация
944;открыт у насч счет;счет есть сб;счет есть сб
945;действующее рко в сб;счет есть сб;счет есть сб
946;ип преостоновило деят ть; не ведет деятельность; не ведет деятельность
947;клиент отказался от открытия;отказ;отказ
948;бюджет нецелесообразно;казн. + бюджет;казн. + бюджет
949;задача выставлена повторно;счет есть;счет есть
950;номер не отвечает;не ответили;не ответили
951;закрыл р с;счет закрыт;счет закрыт
952;банк не планируют менять;др банк;др банк
953;не хотят переходить;не нужен\не может\не хочет;др банк
954;р сч имеется;счет есть;счет есть
955;деньги нужны;надежда есть;надежда есть
956;отказ работают с уралсибм;др банк;др банк
957;в сб дорого;дорогие тарифы;дорогие тарифы
958;фз обналичка;ошибка выборки;ошибка выборки
959;клиент отказался нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
960;предложенире облуживание киент отказался;отказ;отказ
961;отказ нет потребности;отказ;не нужен\не может\не хочет
962;деятельность ведет в невинномысске;территориально;территориально
963;есть р счет;счет есть;счет есть
964;доведены услович;выполнено;выполнено
965;деятельность закрывает; не ведет деятельность; не ведет деятельность
966;счет открыт эквайринг работает;счет есть;счет есть
967;доведены условия;выполнено;выполнено
968;все устраивает в росельхозбанке;др банк;др банк
969;работают с другим банком;др банк;др банк
970;валютный счет уже есть;счет есть;счет есть
971;в настоящий момент отказ;отказ;отказ
972;клиент пользуется валютными счетами;счет есть;счет есть
973;счет уже октрыт;счет есть;счет есть
974;отсутствует внешниэкономическая деятельность; не ведет деятельность; не ведет деятельность
975;счет обслуживает уфк;казн. + бюджет;казн. + бюджет
976;неинтересно;не нужен\не может\не хочет;не нужен\не может\не хочет
977;полученн отказ;отказ;отказ
978;юрн лицо прекратило деятельность; не ведет деятельность; не ведет деятельность
979;доведеныусловия;выполнено;выполнено
980;отказ;отказ;отказ
981;клиент проинформирован об условиях;выполнено;выполнено
982;не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
983;телефон выключен или недоступен;не ответили;не ответили
984;отказ клиента передано кп;отказ;отказ
985;задача устарела;дубль;дубль
986;довендены условия;выполнено;выполнено
987;мдм все устраивает;др банк;др банк
988;счет открыт;счет есть;счет есть
989;не пользуется рко;не нужен\не может\не хочет;не нужен\не может\не хочет
990;идет смена руководства;реорганизация;реорганизация
991;р сч уже есть;счет есть;счет есть
992;в сб дорогое обслуживание;дорогие тарифы;дорогие тарифы
993;не усатроили параметры кредита;условия;условия
994;отказ клиента дорого;дорогие тарифы;дорогие тарифы
995;обслуживается в другом банке;др банк;др банк
996;имп отказ клиента банкрот;банкротство;банкротство
997;предприятие на стадии реорганизации;реорганизация;реорганизация
998;р отказ клиента;отказ;отказ
999;доволен свои банком;др банк;др банк
1000;договорились созвониться;звонок;звонок
1001;сотрудничают с гпб;др банк;др банк
1002;потребности нет в рко;не нужен\не может\не хочет;не нужен\не может\не хочет
1003;неинтересно смцысла нет менять;не нужен\не может\не хочет;не нужен\не может\не хочет
1004;неинтересно сотрудничество с банком;не нужен\не может\не хочет;др банк
1005;тариф рко дорогой;дорогие тарифы;дорогие тарифы
1006;отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
1007;неактуальны онтактные данные клиента;нет контактов;нет контактов
1008;счет в др банке;др банк;др банк
1009;клиента удовлетворяет действующий тариф;счет есть;счет есть
1010;не нужен вал счет;не нужен\не может\не хочет;не нужен\не может\не хочет
1011;очень догорое рко;дорогие тарифы;дорогие тарифы
1012;не устраивает ценовая политика;дорогие тарифы;дорогие тарифы
1013;расчетный счет открыт;счет есть;счет есть
1014;доср гашение кредита;надежда есть;надежда есть
1015;рко есть эквайр работает;счет есть;счет есть
1016;расчетный счет уже открыт;счет есть;счет есть
1017;достаточно собственных средств;собст ср;собст ср
1018;нет;не нужен\не может\не хочет;не нужен\не может\не хочет
1019;имеется р с;счет есть;счет есть
1020;литвинов василий анатольевич;мусор;мусор
1021;обслуживаются в росэнергобанке обслуживание;др банк;др банк
1022;р сч в втб;др банк;др банк
1023;отказ клиента от рко;отказ;отказ
1024;др банк;др банк;др банк
1025;отказ тарифы сбербанка дорогие;дорогие тарифы;дорогие тарифы
1026;не интересно потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
1027;клиенту не нужен счет;не нужен\не может\не хочет;не нужен\не может\не хочет
1028;переезд в чехию навсегда;территориально;территориально
1029;прекратили д ть; не ведет деятельность; не ведет деятельность
1030;полностью прекращена деятельность; не ведет деятельность; не ведет деятельность
1031;ип ликвидировано в июне;ликвидация;ликвидация
1032;открыла счет;счет есть;счет есть
1033;отказ устраивает свой банк;отказ;др банк
1034;другой банк;др банк;др банк
1035;другой сегмент;сегмент;сегмент
1036;валютный счет имеется;счет есть;счет есть
1037;откр в др банке;др банк;др банк
1038;уже является клиентом банка;счет есть сб;счет есть сб
1039;не интересно;не нужен\не может\не хочет;не нужен\не может\не хочет
1040;егорова алла евгеньевна;мусор;мусор
1041;ентрализованная бухгалтерия;голов. комп;голов. комп
1042;не интресует;не нужен\не может\не хочет;не нужен\не может\не хочет
1043;счет закрыли нет потребности;счет закрыт;счет закрыт
1044;нет не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
1045;ок отказ клиента;отказ;отказ
1046;счет открыт по ооо;др банк;счет есть
1047;продолжение переговоров;надежда есть;надежда есть
1048;предложение не интересует перезвонить;звонок;звонок
1049;контакты не найдены;нет контактов;нет контактов
1050;планирует закрывать деятельность; не ведет деятельность; не ведет деятельность
1051;недозвон несколько раз;не ответили;не ответили
1052;отказ клиент прекращает деятельность; не ведет деятельность; не ведет деятельность
1053;счет не з;счет закрыт;не нужен\не может\не хочет
1054;категорический отказ;отказ категорический;отказ категорический
1055;деятельность прекращена; не ведет деятельность; не ведет деятельность
1056;данный счет не работающий;счет закрыт;счет закрыт
1057;валютный счет есть;счет есть;счет есть
1058;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
1059;клиент работает с газпромбанком;др банк;др банк
1060;нет портебности;не нужен\не может\не хочет;не нужен\не может\не хочет
1061;бюджет счет в казночействе;казн. + бюджет;казн. + бюджет
1062;отказ нет потребности;отказ;не нужен\не может\не хочет
1063;сч закрыт;счет закрыт;счет закрыт
1064;подойдет закрыть счет;планируют закрывать счет;планируют закрывать счет
1065;отказ не планируют пр;отказ;отказ
1066;нет потребности дорого;дорогие тарифы;дорогие тарифы
1067;категорический отказ не лоялен;не лоялен ;не лоялен 
1068;отказ дорого в обслуживании;дорогие тарифы;дорогие тарифы
1069;клиент проконсультирован рассматривает предложение;думает;думает
1070;все устраивает в кб;др банк;др банк
1071;работает с кольцо урала;др банк;др банк
1072;устраиывает все в россельхозбанке;др банк;др банк
1073;не хочет сотрудничать отказ;отказ;отказ
1074;в сбербанке слишком дорого;дорогие тарифы;дорогие тарифы
1075;завод закрылся; не ведет деятельность; не ведет деятельность
1076;закрыли счёт;счет закрыт;счет закрыт
1077;не устраивают тарифы;дорогие тарифы;дорогие тарифы
1078;обслуживаются в рсхб;др банк;др банк
1079;ничего не интересует;отказ;не нужен\не может\не хочет
1080;клиент находиться удаленно результат;территориально;территориально
1081;директор васюков сергей евгеньевич;мусор;мусор
1082;авангард низкие тарифы;др банк;др банк
1083;клиент сотрудничает с втб;др банк;др банк
1084;работает с россельхоз банком;др банк;др банк
1085;деятельность закрыта ип ликвидирован;ликвидация;ликвидация
1086;деятельность приоставнолена; не ведет деятельность; не ведет деятельность
1087;ликвидировано вследствие банкротства егрюл;ликвидация;ликвидация
1088;юл в стоп листе;ошибка выборки;ошибка выборки
1089;документы на идентификацию предоставил;надежда есть;надежда есть
1090;не интересно предложение;не нужен\не может\не хочет;не нужен\не может\не хочет
1091;отказ предложение неинтересно;отказ;отказ
1092;кредитование не интересно;не нужен\не может\не хочет;не нужен\не может\не хочет
1093;бюд;казн. + бюджет;казн. + бюджет
1094;клиент не заинтересован;не нужен\не может\не хочет;не нужен\не может\не хочет
1095;открыт в;счет есть;счет есть
1096;счет уже открыт;счет есть;счет есть
1097;счета уже открыты;счет есть;счет есть
1098;работаю с райфайзен банком;др банк;др банк
1099;не отвечает телефон;не ответили;не ответили
1100;контактные данные неактуальны;нет контактов;нет контактов
1101;организация давно не работает; не ведет деятельность; не ведет деятельность
1102;задача дублируется;дубль;дубль
1103;не актульно для клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
1104;ликвидирована организация вследствие банкротства;ликвидация;ликвидация
1105;будет ликвидироваться;ликвидация;ликвидация
1106;тарифы в рсхб устраивают;др банк;др банк
1107;телефон никто не берет;не ответили;не ответили
1108;счет закрыли за ненадобностью;счет закрыт;счет закрыт
1109;отказалась предлагалось неоднократно;отказ;отказ
1110;дорогие тарифы рко;дорогие тарифы;дорогие тарифы
1111;счет переводить не выгодно;дорогие тарифы;дорогие тарифы
1112;счет в углеметбанке;др банк;др банк
1113;клиента рко не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
1114;предприятие ликвидированно;ликвидация;ликвидация
1115;счет в сбербанке имеется;счет есть сб;счет есть сб
1116;банкротство;банкротство;банкротство
1117;отказ пока не интересно;отказ;отказ
1118;не работают; не ведет деятельность;не нужен\не может\не хочет
1119;не привлекают заемные средства;не нужен\не может\не хочет;не нужен\не может\не хочет
1120;фирма не фунционирует;нет контактов;нет контактов
1121;р с открыт;счет есть;счет есть
1122;пока не готовы;пока;пока
1123;счет не интересен;не нужен\не может\не хочет;не нужен\не может\не хочет
1124;все знают обратятся сами;не нужен\не может\не хочет;не нужен\не может\не хочет
1125;уже открыли счет;счет есть;счет есть
1126;уралсиб сотрудничество;др банк;др банк
1127;счет не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
1128;нет вал контрактов;нет контактов;нет контактов
1129;предложение клиенту не интересно;отказ;не нужен\не может\не хочет
1130;обслуживаются в другом банке;др банк;др банк
1131;отказ лояльны действующему банку;отказ;отказ
1132;ок отказ клиента;счет есть;отказ
1133;ликвидировано егрюл;ликвидация;ликвидация
1134;в др банке;др банк;др банк
1135;задача уже выставлялась;дубль;дубль
1136;отказ не интерсеует;отказ;отказ
1137;отказ в кредите;отказ;отказ
1138;обслуживаются в уралсибе;др банк;др банк
1139;не устраивают тарифы;дорогие тарифы;дорогие тарифы
1140;недозвон уточнение контактов;не ответили;не ответили
1141;деятельность переведена; не ведет деятельность; не ведет деятельность
1142;не ведется деятельность;не нужен\не может\не хочет; не ведет деятельность
1143;высокие тарифы;дорогие тарифы;дорогие тарифы
1144;клиент заблокирован пфм;не соответсвует требованиям;не соответсвует требованиям
1145;муниципальное учреждение;др банк;др банк
1146;задолженность по налогам;не соответсвует требованиям;не соответсвует требованиям
1147;отказ кк отказ рко;отказ;отказ
1148;работают с металинвест банком;др банк;др банк
1149;закрыли счёт;счет закрыт;счет закрыт
1150;счет открыт тарифы устраивают;др банк;дорогие тарифы
1151;клиент в черной зоне;черная зона;черная зона
1152;счет в сбербанке открыт;счет есть сб;счет есть сб
1153;уже открыти счет в;счет есть;счет есть
1154;предприятие ликвидируется;ликвидация;ликвидация
1155;акрыли предприятие; не ведет деятельность; не ведет деятельность
1156;неинтересно вал счета открыты;не нужен\не может\не хочет;не нужен\не может\не хочет
1157;есть действ вал счет;счет есть;счет есть
1158;клиент передумал;думает;думает
1159;не лоялен к нам;не лоялен ;не лоялен 
1160;клиенты отказались от продукта;отказ;отказ
1161;нет телефонных номеров;нет контактов;нет контактов
1162;нет потребности отказ клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
1163;не рассматривается вопрос кредитования;отказ;отказ
1164;дороговизна обслуживание рко;дорогие тарифы;дорогие тарифы
1165;зажача выполнена;выполнено;выполнено
1166;отказ нет необходимости отказ;др банк;отказ
1167;ликвидирована;ликвидация;ликвидация
1168;устраивают действующий счет;счет есть;счет есть
1169;не занимается торговлей;не нужен\не может\не хочет;не нужен\не может\не хочет
1170;отказ высокие комиссии;отказ;дорогие тарифы
1171;не отвечает сбрасывает;не ответили;не ответили
1172;данная орг ия ликвидирована;ликвидация;ликвидация
1173;получен отказ;отказ;отказ
1174;закрывают счет;счет закрыт;счет закрыт
1175;организация временно не работает; не ведет деятельность; не ведет деятельность
1176;деятельность закрыла; не ведет деятельность; не ведет деятельность
1177;счет открыт в до;др банк;др банк
1178;предложение не интересно;отказ;не нужен\не может\не хочет
1179;отказ в сотрудничестве;отказ;отказ
1180;р сч уже открыт;счет есть сб;счет есть
