;text;result;predict_cl
2752;предыдущее обращение в банк по кредитованию имело негативный опыт отказ банка поэтому обратились за кредитом в ком банк сотрудничество со сб приостановлено счет закрыт;отказ сотруднич с др банком;др банк
2753;рко втб локобанк с клиентом регулярно ведутся переговоры по вопросам сотр ва;отказ нет потребности;выполнено
2754;расчеты через л сч в департаменте финансов свой счет иметь нельзя;отказ нет потребности;отказ
2755;обслуживается в др банке цена за обслуживание ниже чем в сбербанке кредитование не интересно;отказ не устр цена продукта;дорогие тарифы
2756;клиент имеет р с в сбербанке активно по нему работает имеет эквайринг кредитуется в других услугах на данный момент не нуждается;отказ нет потребности;счет есть сб
2757;повторно общались недели назад клиентка обсллуживается в восточном банке оплачивает в размерер руб входит и обслуживание сч и интернет банк сказала что менять банк не собирается тэ установлен нашего банка розн торговля в конкурсах не участвует бг не ак ны кред не оформляла и не собирается от встречи отказ;отказ не устр цена продукта;отказ
2758;проведена встреча заключен зарплатный договор рко в другом банке;отказ нет потребности;др банк
2759;не является руководителем более полугода не интересно предложение другие реквизиты найти не удалось;отказ нет потребности;не нужен\не может\не хочет
2760;была ранее услуга эквайринг терминал был снят как неликвидный клиент обратился в другой банк подключил там услугу и открыл расчетный счет условия полностью устраивают менять ничего не хочет;отказ сотруднич с др банком;счет есть
2761;клиент обслуживается в кпб с момента регистрации г менять банк категорически не хотят;отказ нет потребности;др банк
2762;отказ сэб в выдаче кредита соответственно отказ клиента от открытия р с в банке;отказ не лоялен к банку;отказ
2763;разговаривала с руководителем обслуживаются в форбанке все устраивает считают что к ним в маленьких банках более индивидуальный подход чем в сбербанке кроме того у клиента стоит терминал форбанка под;отказ нет потребности;др банк
2764;пока у нас не будет счет открывать кредит в др банке и там же обязательства потом придет но это через год;отказ нет потребности;отказ
2765;записали номер км в данный момент открытие счета не актуально но будут думать т к обслуживаються в энерготрансе;отказ нет потребности;км
2766;отработано км богомолова клиент работает с альфа банкам на протяжении лет условия обслуживания устраивают;отказ сотруднич с др банком;км
2767;счет есть другой открывать не хотят кредитование размещение в депозиты эквайринг не интересует;отказ сотруднич с др банком;не нужен\не может\не хочет
2768;вся деятельность в газпромбанке з п частично условия в гпб лучше банк полностью устраивает смену банка не рассматривают;отказ сотруднич с др банком;др банк
2769;есть р с в другом банке цена устраивает а в сб дорого;отказ сотруднич с др банком;дорогие тарифы
2770;много раз общался с клиентом клиент мне знаком входит в группу компаний осуществляющих охранную деятельность пока не готовы переводить обороты в наш банк назначен звонок встреча;отказ нет потребности;надежда есть
2771;клиент уже имеетдействующий расчетный счет в пао сбербанк;отказ нет потребности;не лоялен 
2772;клиент недавно закрыл расчетный счет отсутсвует необходимость т к после нового года будет закрывать ип;отказ нет потребности; не ведет деятельность
2773;клиент категорически не хочет открывать р с так как давольно долгое время работает с другим банком;отказ нет потребности;не нужен\не может\не хочет
2774;клиентом закрыт р сч в нашем банке открывать пока не планируют;отказ нет потребности;счет есть сб
2775;счет открыт в другой финан организации;отказ нет потребности;счет есть
2776;организация бюджетная все проходит через казначейство;отказ нет потребности;казн. + бюджет
2777;клиент не будет открывать р с в сбербанке;отказ нет потребности;счет есть сб
2778;р с клиент закрыл нет необходимости;отказ нет потребности;не нужен\не может\не хочет
2779;рассмотрят на условиях акции хотя для них дорогое обслуживание;отказ нет потребности;дорогие тарифы
2780;не рассматривают перевод на рко не интересует;отказ нет потребности;не нужен\не может\не хочет
2781;отказ картотека по счету предложили перечислить ср ва на счет для закрытия картотеки;отказ сотруднич с др банком;счет есть
2782;клиент работает без р сч расчетываеться наличными средствами открывать пока не планирует;отказ нет потребности;не нужен\не может\не хочет
2783;взяла трубку истеричная женщина отказалась полностью от разговора;отказ не лоялен к банку;не разговаривают
2784;имеют ссуднуюзадолженность тыс в росбанке договорились на возмжное кредитование;отказ нет потребности;др банк
2785;теплые и дружеские отношения с кб;отказ сотруднич с др банком;др банк
2786;обслуживаются в кпб длительное партнерство отказ от сотрудничества со сб не интнресуются ни условиями обслуживания в сб ни условиями перехода в сб клиент категории труднопривлекаемые;отказ сотруднич с др банком;счет есть сб
2787;клиент против открытия счета в сб;отказ сотруднич с др банком;не лоялен 
2788;отказ сотруднич с др банком полностью устраиваент работа с др банком;отказ сотруднич с др банком;др банк
2789;переговоры с клиентом проведены потребности в услугах нет;отказ нет потребности;не нужен\не может\не хочет
2790;у клиента есть кредит недавно взял ипотеку на фл кредитование не интересно рко расскзала про акцию в руб акция интересна если только после укладываться в сумму до тр по облсуживанию так смысла не видит;отказ нет потребности;не нужен\не может\не хочет
2791;клиент работает в ижеске обслуживается в сбербанке закреп км в рко кредите в обслуживании в чайковском не заинтересован здесь пока не работают отказ;отказ не устр параметры;км
2792;данный вопрос решает только рук ль будет на месте после назначен повторный звонок;отказ нет потребности;звонок
2793;проведены переговоры по рко пояснила что ранее счет был открыт в нашем банке перешли в ижкомбанк из за тарифов в ижкомбанке тарифы намного ниже платит ежемесячно за ведение счета руб в нашем банке не вилит смысла открытия счета;отказ не устр цена продукта;дорогие тарифы
2794;не устраивают тарифы отказ от рко;отказ не устр цена продукта;дорогие тарифы
2795;клиент из категории в россии все плохо все воруют и тд ставки по кредитам считает высокими готова взять только беспроцентный кредит счет у нас дорогой к нам не перейдет терминала работают исправно в бизнесе спад думают над закрытием одной из тт;отказ не устр цена продукта;дорогие тарифы
2796;счет у нас открывать отказалась без комментариев просто нет доп точку открывать не планирует от доп термианла отказ кредитами не пользуется нет в планах приобретать недвижимость бг не аткуальны по роду деятельности;отказ нет потребности;отказ
2797;думает по поводу перевода на рко в сбер но нет времени и не удобно к нам ехать рядом офис на г хасана;отказ не устр параметры;думает
2798;клиент работает с ижкомбанком рко до р выходит наш тэ кредиты не требуются нет необходимости комиссия по нашенму банку больше посчитали отказ;отказ не устр параметры;отказ
2799;контактное лицо лунин анатолий сергеевич ип на данный момент потребности в банковских продуктах нет;отказ нет потребности; не ведет деятельность
2800;ирина александровна проговорили по рко пока у нас условия не поменялись смысла перехода не видит все про нас знает;отказ не устр параметры;не нужен\не может\не хочет
2801;клиент гпб от встречи отказался но заинтересовал новый сервис по платежам в вых и празд дни;отказ не устр параметры;отказ
2802;контактное лицо мартышева ольга анатольевна сделан звонок потребности в кредитовании и других банковских продуктах сбербанка нет сейчас обслуживаются в убрире уже давно там зп эквайринг и рко сейчас ничего менять не хотят;отказ нет потребности;не нужен\не может\не хочет
2803;разговор состоялся с гл бух потребности в смене фин партнера нет сейчас все устраивает кредитование не рассматривают новосибирская обл г бердск ул к маркса д телефон гмц росстата mail sibekotech mail ru руководитель молчанов виктор владимирович директор;отказ продукт уже есть;др банк
2804;сейчас потребности нет передаст информацию бухгалтеру контакты из спарка;отказ нет потребности;нет контактов
2805;организация уже является клиентом сб второй счет не нужен;отказ продукт уже есть;счет есть сб
2806;клиент про сбербанк знает обслуживается в роялкредит банке работают со сбербанком по з п открывать счет на данный момент отказываются;отказ нет потребности;счет есть сб
2807;согласно спарк клиент ооо вегас находится в самарской области;отказ нет потребности;территориально
2808;клиент сейчас подал заявку на бг при одобрении перейдет на обслуживание в сбербанк;отказ нет потребности;др продукт сб
2809;обстоятельства у клиента поменялись кредитование и открытие счета не требуется;отказ нет потребности;не нужен\не может\не хочет
2810;отказ директор не рассматривает такие предложение есть свой банк условия по рко устраивают;отказ нет потребности;отказ
2811;отказ нет потребности счет есть для работы в другом банке в дополнительных счетах не нуждаются;отказ нет потребности;не нужен\не может\не хочет
2812;отказ деятельность слабая менять ничего не будут не видят в этим смысл;отказ нет потребности;отказ
2813;у клиента есть счет в стороннем банке все устраивает не рассматривает открытие доп счета или обновление обслуживания id пр р с основной пр б бст банк б с с т т т т;отказ нет потребности;др банк
2814;говорит что в рсхб обслуж дешевле по кл банку работа налажена менять ничего не хочет так как в рсхб все устраивает id пр р с основной пр б оао рсхб б с не озвучила с т т т т;отказ не устр параметры;др банк
2815;есть неск р с в др банках переводить тяжело бух ирина работала с сббол не удобно лпр кредитование не согласовал;отказ не устр параметры;мусор
2816;разговор состоялся с нататальей она пояснила что не будут рассматривать сб в качестве банка обсл ия не готовы на сегод день к переходу причины не озвучила;отказ не лоялен к банку;отказ
2817;клиент не кредитуется в фиа банке;отказ нет потребности;отказ
2818;клиент ведет бизнес в первоуральске в дальнейшем планирует открытие сч и обслуживание в сбербанке по месту ведения бизнеса;отказ нет потребности;отказ
2819;отказ не устраивает ценовая политика в вопросе снятия наличных со счета;отказ сотруднич с др банком;дорогие тарифы
2820;выполнено расчетный счет и счет поставщика в пао сбербанк россии закрыты г по причине отсутствие необходимости;отказ не устр параметры;не нужен\не может\не хочет
2821;клиент сравнивает обслуживание с убриром утверждая что там для него дешевле и удобно но обюещал поджумать;отказ не устр параметры;дорогие тарифы
2822;проконсльтировала не хотят работать со сбербанком;отказ не устр параметры;не лоялен 
2823;рко убрир руб от встречи отказалась кредитоваться не планирует рефинансирование не требуется;отказ нет потребности;отказ
2824;отказ клиента от открытия р с;отказ нет потребности;отказ
2825;рко включается факс номер не отвечает;отказ не устр параметры;не ответили
2826;счет не работает с телефон не актуален гл бух прежний там не работает;отказ нет потребности;не нужен\не может\не хочет
2827;ранее счет был открыт в сбербанке причины закрытия кредитование в др банке отказался назвать банк куда ушел;отказ нет потребности;др банк
2828;клиент закрыл расчетный счет деятельность прекращена потребности в зп нет;отказ нет потребности; не ведет деятельность
2829;отказ нет потребности работают через головную организацию а принятии решений;отказ нет потребности;не нужен\не может\не хочет
2830;нет потребности работают с др банком;отказ нет потребности;др банк
2831;клиент обслуживаетсся в сбербанке с года;отказ нет потребности;счет есть сб
2832;сотрудничаютс другоим банком не уточнили с каким;отказ сотруднич с др банком;не нужен\не может\не хочет
2833;ранее обслуживался с сбербанке считает что дорого;отказ нет потребности;дорогие тарифы
2834;рко дорогое по мнению клиента кредит брать не будет;отказ нет потребности;дорогие тарифы
2835;учредитель настойчиво рекомендует пользоваться только счетов в ркц;отказ нет потребности;др банк
2836;в арамили нет сбербанка выручку на р с постоянно сдают через инкассацию дорого через ус большие суммы в сысерть ездить неудобно;отказ не устр параметры;дорогие тарифы
2837;клиент раньше обслуживался по р счету в нашем банке отказался потому что не выгодно по тарифам и не удобно по обслуживанию очень долго с проблема проходили платежи сейчас обслуживаются в др банке в каком не сказали;отказ не устр цена продукта;дорогие тарифы
2838;звонила марине евгеньевне расчетный счет открыт в другом банке сказали что ей уже звонили по поводу открытия но пока ничего менять не собираются;отказ нет потребности;др банк
2839;у клиента нет ни эквайринга ни зп в сб;отказ нет потребности;счет есть сб
2840;с клиентом проведены переговоры глава в москве которая не разрешает менять банк вся сеть обслуживается в одном банке;отказ сотруднич с др банком;др банк
2841;имеет рс на другую компанию группы;отказ нет потребности;счет есть
2842;клиент находится в стадии реорганизации путем присоед к др юл;отказ нет потребности;реорганизация
2843;клиент входит в группу компаний мебельная сеть алеся основная часть группы обслуживается в сбербанке сообщил об акции нет необходимости в открытии счета на данное ип;отказ нет потребности;счет есть сб
2844;алексей в деятельности не использует заемные средства отказ от встречи;отказ нет потребности; не ведет деятельность
2845;е кред ся нет потребности мир упаковки;отказ нет потребности;не нужен\не может\не хочет
2846;гсл спецуниверсал наши условия знают тк кред ся;отказ нет потребности;выполнено
2847;по данному клиенту был открыт расчетный счет;отказ треб продукт отсут ет;счет есть
2848;звонок проведен на данный момент отказались т к имеют достаточно счетов и пока не планируют открывать ещё;отказ сотруднич с др банком;пока
2849;ранее работали по тэ на данный момент ип ликвидировала терминал сдали переехали на алтай;отказ нет потребности;не соответсвует требованиям
2850;дорогое ведение счета работает с другим банком на протчжении долгого времени любит стабильность;отказ сотруднич с др банком;дорогие тарифы
2851;клиент реагирует агрессивно просит ему ничего не предлогать у него все есть;отказ не лоялен к банку;не лоялен 
2852;от открытия счета в нашем банке клиент отказался давно работает с втб все устраивает id пр р с основной пр б втб б с с т т т т;отказ нет потребности;др банк
2853;директор от встречи отказался есть банк партнер времени для встречи нет плотный график работы;отказ нет потребности;отказ
2854;клиент обслуживается в банке где у него есть кредит обязательным условием его выдачи было открытие счета и поддержание оборотов кредит закончится через лет раньше этого времени клиент не будет рассматривать переход в другой банк;отказ нет потребности;др банк
2855;к банку негативен работать с нами не желает;отказ не лоялен к банку;не нужен\не может\не хочет
2856;данная цкп была отработана в рамках hykceaf компания деятельность не ведет находится на стадии ликвидации в егрюл данных нет со слов руководителя счет в кб югра ранее имелся на данный момент все расчетные счета уже закрыты;отказ категорический отказ;ликвидация
2857;отказ клиенту не тебуется дополнительное финисирование;отказ нет потребности;отказ
2858;кк отказ рко в др банке потребности в кредитовании нет на сегодн день;отказ сотруднич с др банком;др банк
2859;по результатам звонка клиенты сотрудничают с другим банком по тарифам работы в сбербанке информацией владеют менять банк не планируют;отказ сотруднич с др банком;др банк
2860;потребности не выявлено клиент не настроен на сотрудничество с банком;отказ нет потребности;не нужен\не может\не хочет
2861;уб привлобсл клиент открыл счет в другом банке рассказывать не хочет наши услуги не нужны;отказ нет потребности;не нужен\не может\не хочет
2862;отказ клиент отказывается открывать р с в валюте так как не нужен;отказ нет потребности;отказ
2863;клиент обслуживается в энерготрансбаке их всё устраивает переходить в сбербанк в ближайшее время не собираются;отказ нет потребности;др банк
2864;на текущий момент клиент не работает по вэд у клиента был открыт расчетный счет в пао сбербанк на текущий момент клиент отказался от открытия вал счета но если будет необходимость обязательно откроют;отказ нет потребности;отказ
2865;у клиента уже есть открытый валютный счет дополнительного не требуется;отказ нет потребности;счет есть
2866;у клиента открыт счет в марте;отказ нет потребности;счет есть
2867;валютными счетами не пользуются и в ближайшее время не планируют был разовй контракт расчеты в рублях;отказ нет потребности;не нужен\не может\не хочет
2868;савин николай сергеевич сообщил что работают с райффазен банком но валютных операций нет раньше были если в дальнейшем возобнавят работу с вэд обязательно наши тарифы рассмотрят;отказ нет потребности;не нужен\не может\не хочет
2869;клиент не хочет на данном этапе иметь дело с валютой попросил перенести этот разговор на кв г;отказ нет потребности;не нужен\не может\не хочет
2870;нет потребности в открытии вал счета;отказ нет потребности;не нужен\не может\не хочет
2871;клиента не устаивают тарифы обслуживаются в нбд;отказ не устр параметры;дорогие тарифы
2872;клиент не лоялен к банку не устраивают процессы выдчи банковских гарантий рко;отказ не лоялен к банку;не лоялен 
2873;у компании финансовые проблемы идет ой месяц проверка налогового органа;отказ нет потребности;др продукт сб
2874;переговоры проведены клент работает с гпб вся иноформация по работе с банками поступает с москвы;отказ нет потребности;др банк
2875;р клиент не готов к расширению сотрудничества из за отказа в кредитовании;отказ не устр параметры;условия
2876;работает с промсвязью связаться в четверг по лизингу;отказ нет потребности;счет есть
2877;ликвидация орган ии смена упр го состава и орг ии открытие счетов в валюте достигнута догов ть о конверсии и вэд;отказ нет потребности;ликвидация
2878;отказ от сотрудничества с российскимим банками в ввиду нахождения сб в санкционном списке;отказ не устр параметры;др банк
2879;рублевый счет закрыт нет потребности в продукте;отказ нет потребности;не нужен\не может\не хочет
2880;р деятельность переведена на другое юр лицо авто брокер мурманск;отказ нет потребности; не ведет деятельность
2881;политика клиента счета в киптивном банке;отказ нет потребности;дорогие тарифы
2882;отказ клиента т к имеется корпоративный банк отказ учредителей;отказ нет потребности;отказ
2883;клиент имел рко эквайринг зарп договор все договора расторгнуты деятельность не ведёт;отказ нет потребности; не ведет деятельность
2884;р с нигде не открыт со слов клиента деятельность не ведется;отказ нет потребности; не ведет деятельность
2885;клиент не называет банк в котором обслуживается деятельность ведет не активно не стабильное фин положение во втором счете нет необходимости;отказ сотруднич с др банком;не нужен\не может\не хочет
2886;не устраивают тарифы высокие оформлял гарантию не устроили тарифы на рко отказался от гарантии;отказ не устр параметры;дорогие тарифы
2887;не могут открывать счета в кредитных организациях возмещение идет сразу на счет в центробанке;отказ нет потребности;не нужен\не может\не хочет
2888;не интересно нет потребности открывать еще один счет;отказ нет потребности;не нужен\не может\не хочет
2889;клиент ранее у нас был на эквайринге отказался из за высоких тарифов;отказ не устр параметры;не нужен\не может\не хочет
2890;клиент работает с другим банком сотрудничество со сбером не актуально затем клиент в ходе разговора положил телефон;отказ нет потребности;др банк
2891;клиент обслуживался в сбербанке после повышения тарифов перешел на обслуживание в уралтрансбанке за р с оплачивает рубле переходить в сбербанк не планирует;отказ сотруднич с др банком;др банк
2892;счет в мдм тарифы ниже чем в сб клиент возрастной привык работать в одном месте переход тяжелый;отказ сотруднич с др банком;др банк
2893;снижение оборотов связано с нестабильными поступлениями от контрагентов;отказ нет потребности;небольшие обороты
2894;отказ работают с другим банком точки по эквайрингу банк называть отказалась но там условия выгоднее чем у нас;отказ сотруднич с др банком;др банк
2895;в убрире обслуживаются и всё устраивает;отказ нет потребности;др банк
2896;расчетный счет в втб менять ничего не планируют недовольны что звонят каждую неделю;отказ не устр параметры;др банк
2897;никитенкова людмила анатольевна директор рко в утб прием наличных бесплатно основной фактор обслуживания плата за рко р от встечи отказ менять обслуживающий банк отказ оптимизация расходов;отказ нет потребности;др банк
2898;отказ не подходят условия обслуживания счет уже открыт;отказ нет потребности;условия
2899;клиент имеет корпоративный банк открытие счетов в других банках запрещено учредителями;отказ нет потребности;др банк
2900;клиент в группе ммк на текущий момент с головной компанией не достигнута договоренность об открытии отдельных р с;отказ сотруднич с др банком;реорганизация
2901;банк менять отказываются долгосрочные отношения с россельхозбанком;отказ сотруднич с др банком;др банк
2902;категорически отказывается открывать расчетный счет в сбербанке не устраивают условия обслуживания;отказ не устр параметры;отказ категорический
2903;клиент имеет рко в промрегионбанке в месяц за обслуживание платит руб тарифы сбербанка не устраивают;отказ не устр параметры;дорогие тарифы
2904;с клиентом уже неоднократно проводились адресные встречи и офисе банка и в офисе клиента последняя встреча с клеинтом была счет открыт в форбанке тарифы устраивают не видит смылса бегать по банкам;отказ нет потребности;территориально
2905;клиент категорично сообщил что не желает обслуживаться в нашем банке не лоялен;отказ не лоялен к банку;не лоялен 
2906;клиент проживает в ясногорске деятельность рознич торговля пр питания ведется также в ясногорске приезжать в читу для открытия счета или оформ кредита не удобно клиенту предлож обратиться в сб в борзии клиент готов рассмотреть условия обслуживания и кред в сб;отказ не устр параметры;счет есть сб
2907;нет связи действ контакты не отв недоступны по юр адресу клиент не найден;отказ нет потребности;нет контактов
2908;у клиента оформлен кредит в втб по условиям кредитования р сч открыт там же клиент поддерживает обороты в своем банке отказ от рефинансирования рко на данный момент неактуально;отказ сотруднич с др банком;отказ
2909;со слов руководителя сотрудничает с мя банками в сбербанке обслуживался но закрыл счет в связи со спитсанием со счетов судебными приставами предварительно клиента не уведомили о списании инкассовые были выставлены ошибочно долго возвращал деньги озвучены условия акции так же предложено снижение комиссии по терминалам но клиент сообщил о предложении снижения комиссии от менеджера по торговому экварингу до без условия открытия счета в банке;отказ сотруднич с др банком;счет есть сб
2910;отказ от предложения информация по рко не интересует;отказ нет потребности;не нужен\не может\не хочет
2911;клиента предложения других банков вообще не интересуют все устраитвает в своем банке;отказ нет потребности;др банк
2912;работают с примсоцбанком все устраивает но есть еще несколько компаний возможно в конце мая потребуется открыть счет договорились созвониться;отказ нет потребности;др банк
2913;отказ от встречи не заинтересован в предложении;отказ не устр параметры;отказ
2914;входят в гк северный относятся к сегменту средний работают с км груздева е;отказ нет потребности;км
2915;клиент открыл счет в нашем банке;отказ продукт уже есть;счет есть сб
2916;обслуживаются в росбанке не устраивает ценовая политика сб;отказ не устр параметры;дорогие тарифы
2917;клиент уже на протяжении лет находится на обслуживании в втб со сбербанком готов сотрудничать только по эквайрингу пробовали работать по рко были проблемы в втб хорошая кредитная исотрия не готовы менять банк;отказ не устр параметры;др банк
2918;обслуживаются в другом банке все устраивает комиссия ниже;отказ нет потребности;др банк
2919;клиентне объявлял нового конкурса отказался переводить свободные ден средства из другого банка;отказ не устр параметры;собст ср
2920;у клиента остался из х терминалов сбербанка на й точке поставили терминал челиндбанка т к обслуживаются у них наш пу торговый плюс не заинтересовал т к подходит только для одной тст;отказ не устр цена продукта;не нужен\не может\не хочет
2921;на текущий момент потребность в кредитовании отсутвует;отказ нет потребности;не нужен\не может\не хочет
2922;кредит нужен к весне сейчас точно нет в штате чел офиц переговорит на этой неделе скажет ответ главная загвостка в том что нет банкомата в селе;отказ нет потребности;не нужен\не может\не хочет
2923;не кредитуются достаточно собственных ср в;отказ нет потребности;отказ
2924;зелик павел витальевич справляются своими силами потребности в кредитовании нет;отказ нет потребности;не нужен\не может\не хочет
2925;на текущий момент клиент имеет достаточно собственных средств кредитные средства не нужны;отказ нет потребности;отказ
2926;клиент просил не направлять предложения по кредитованию негативная реакция;отказ нет потребности;не нужен\не может\не хочет
