;TEXT;class
10325;кредитование не_интересно гостичничный бизнес слов клиента сейчас не_стабилен риски невыплаты;не нужен\не может\не хочет
10326;кредиты не_нужны действующий оформление дополнительного не_позволяет выручка лизинг не_интересен занимаются сдачей аренду бизнеса не_нужно;род деятельности
10327;клиент находится обучении;территориально
10328;не_актуальные номера;нет контактов
10329;набрать след неделе нет;надежда есть
10330;предоставляют агентские услуги платежи населения кредит не_интересен;не нужен\не может\не хочет
10331;переговоры свнтланой викторовной деятельность розничная торговля клиент имеет действующий кредит доверие остаток клиенту предложено кредитование озвучены основные условия примущества отказалась подала заявку лицо ипотеке;оптовая торговля
10332;планируют приобретать газель лизинг пока не_определились диллером стоимостью необходима повт встреча;встреча
10333;не_будут приобретать номер оставлен вопросов;нет контактов
10334;заемные средства не_нужны деятельность ведется порядке разговаривать продуктам банка не_хотели торопились сказали не_интересно;не ведет деятельность
10335;действующий кредит дополнительном кредитовании потребности нет;не нужен\не может\не хочет
10336;отсутствие лояльности банку;не нужен\не может\не хочет
10337;деятельность компании приостановлена;не ведет деятельность
10338;клиент сравнивал тарифы альфа банком предложен пакет услуг назначена встреча также клиентом обсудили лизинг кредитование кредитовании нет_потребности лизинг раньше рассмотрит наши условия;безналичный
10339;направил предложение контактами потребности данный момент нет;не нужен\не может\не хочет
10340;пока необходимости нет;не нужен\не может\не хочет
10341;действующий кредит клиент планирует закрывать деятельность летом отказ;не ведет деятельность
10342;не_отвечает;не нужен\не может\не хочет
10343;кредитовались банке минимальные гораздо ниже данный момент нет_потребности кредитных продуктах размещают депозит;не нужен\не может\не хочет
10344;не_подходит кред;не нужен\не может\не хочет
10345;переговоры вероникой направили наше предложение смотрят конкурсы;не отработана. перенесена
10347;переговорили предложению лизинга не_интересно вообще кредитование наотрез отказалась некогда;отказ
10348;не_кредитуется обходится своими средствами;не нужен\не может\не хочет
10349;клиент согласен встречу предварительному звонку ранее кредитовался не_устраивает залог документы супруги;клиент согласен на
10350;клиент ранее кредитовался продуктах банка знает пока нет_потребностей;отказ
10351;нет_потребности кредитах;не нужен\не может\не хочет
10352;организация занимается производством одежды директор ушачев геннадий васильевич кредитование беззалогово интересно не_подходим виду деятельности перечисляют карты клиенту удобнее стоит своем;не ведет деятельность
10353;организация торгах не_учавствует поставляет организации которая выиграла торги интересуют валютные операции оставила контакты;не ведет деятельность
10354;действующие кредиты перекредитовании не_нуждается лизинг не_актуален;др банк
10355;консультация коробочного страхования;не отработана. перенесена
10356;нет_потребности;не нужен\не может\не хочет
10357;переговоры дмитрием александровичем предложено кредитование клиент отказался обходятся собситвенными средствами предложено размещение средств депозит ознакомлены размещать ближайшее время не_планируют свободных средств нет_обороте;не соответсвует требованиям
10358;отказ не_планируют оформлять кредит;отказ
10359;клиент встречу не_пришел звонок не_отвечает назначен повторный звонок;звонок
10360;услуга данный момент не_интересует;пока
10361;не_нуждается кредитовании;не нужен\не может\не хочет
10362;елена потребности нет_хватает собственных средств возникнет_потребность контакты знают;нет контактов
10363;доходность выше;надежда есть
10364;требуется отправить предложение клиента интересует кредит пополнение оборотных средств контакт рифат рахматуллович;не нужен\не может\не хочет
10365;елена анатольевна кредит брать концу лета;мусор
10366;проведены переговоры клиентом вопросу кредитования клиенту занимается розничной торговлей продуктами питания клиента действующий кредит который клиент оплачивать весь текущий дополнительное кредитование году не_рассматривает;отказ
10367;проведены переговоры клиентом потребности нет_заемных;переговоры
10368;не_кредитуется;не нужен\не может\не хочет
10369;проведены переговоры руководителем галина александровна организации проектные работы кредитами не_пользуются достаточно собственных средств озвучено предложение лизингу потребности нет_приобретение не_планируют;мусор
10370;предложен продукт сбербанк лизинг озвучены условия преи;др продукт сб
10371;нет_потребности;не нужен\не может\не хочет
10372;клиент подойдет назначена повторная встреча;встреча
10373;приобретение машин техники не_планируют;не нужен\не может\не хочет
10374;нет_потребности кредитовании интересует возможность размещения депозитов направлена инструкция размещению;не нужен\не может\не хочет
10375;нет_потребности кредитных продуктах;не нужен\не может\не хочет
10376;проведена консультация киент рассмотрит предложение банка договоренность встречу;встреча
10377;нет_потребности кредитовании;не нужен\не может\не хочет
10378;клиент размещает мредства депозиты кредит не_нужен;не нужен\не может\не хочет
10379;назначена втреча;надежда есть
10380;алексей николаевич;мусор
10381;день нет_потребности кредитовании;не нужен\не может\не хочет
10382;клиента день нет_потребности кредитовании лизинге действующий кредит;есть кредит
10383;александр_управляющая компания пользуются депозитами переводят платежками сотрудника компании делать отказываются не_работают кредитование не_интересно;отказ
10384;действ кредит кред нагрузка;есть кредит
10385;потребность кредитовании отпала нужны были деньги не_смогли прокредитовать сейчас хватает собственных;не нужен\не может\не хочет
10386;наталья организация занимается выдачей микрозаймов компания не_работает кредитование не_актуально;не ведет деятельность
10387;отказ нет_потребности продукте;отказ
10388;негатив клиент не_нуждается кредитовании обратится банк необходимости;не лоялен 
10389;нет_потребности кредитных средствах;не нужен\не может\не хочет
10390;проведен звонок клиенту деятельности управляющая компани словам сотрудника компании не_кредитуются выручка формируется счет взносов жильцов;не ведет деятельность
10391;отказ кредитования;отказ
10392;виды кредитования озвучены пока потребности нет_обратятся;не нужен\не может\не хочет
10393;нет_потребности кредитовании направлено предложение;не отработана. перенесена
10394;закрыто запросу упмб;не ведет деятельность
10395;достаточная задолженность кредитам пока нет_потребности заемных средствах;не соответсвует требованиям
10396;мария ивановна подумает оставлены контакты;интересует
10397;клиентом проведены переговоры поводу кредитования поговорили наступлении строительного сезона лично приезжал цементом не_складе связи этим просто необходимо взять кредит пояснила году брать кредиты точно не_будут;отказ
10398;ближайшее время планируют реорганизация компании будут открывать новую переводить средства туда будут открывать расчетный счет предоставлены контакты обратной связи;нет контактов
10399;клиентом проведены переговоры клиент кредитуется другом банке обращении банк получил отказ;др банк
10400;клиента данный момент нет_потребности кредитовании повторный звонок;звонок
10401;клиентом проведены переговоры кредитование данный момент не_нтересует;пока
10402;клиент находится новосибирске потребность подойдет вернется читу;территориально
10403;отчетность плохая сдана не_кредитуемо залогами проблемы;не нужен\не может\не хочет
10404;разговаривала директором тема кредитования лизинга не_интересна собственные средства;не нужен\не может\не хочет
10405;не_интересует кредит;есть кредит
10406;бросает трубку повторных звонках сбрасывает;не разговаривают
10407;клиент придет встречу;отказ
10408;кредитование не_актуально нет_потребности текущей деятельности;не ведет деятельность
10409;след неделю подача заявки экспресс овердрафт;не рассчитывается
10410;клиент категирчески против кредитов сейчас ближайшее время никогда жизни;не нужен\не может\не хочет
10411;занимаются изготовлением детских площадок кочель ограждений изготавливают конструкции металла арки дополнительно занимаются грузоперевозками заключен контракт компанией стро заправок лукойл хотят приобрести оборудование изготовления пластиковых изделий кочель лавочек металлоконструкций залог могут предоставить грузовой транспорт оформлены сына брата запланирован звонок;род деятельности
10412;не_устраивают проценты;условия
10413;отказ нет_потребности;отказ
10414;клиенту направлено предложение;не отработана. перенесена
10415;отказ кредитование не_нужно;отказ
10416;занимаются сдачей аренду эквайринг не_актуально сейчас кредитование этой организации не_актуально;род деятельности
10417;принимает решение;голов. комп
10418;работает другим;др банк
10419;снижение выручки нет_продаж;небольшие обороты
10420;отказ нет_потребности;отказ
10421;выслал предложение лизингу информацию передал менеджера лизинга;не отработана. перенесена
10422;номера телефонов клиента отключены;нет контактов
10423;клиент пвыслушал условия пока не_готов кредитоваться;отказ
10424;не_интересует сказал завтра приедит офис поговорить счет депозита;не нужен\не может\не хочет
10425;нет_потребности кредитовани;не нужен\не может\не хочет
10426;нет_потребности новом кредите действующий;не нужен\не может\не хочет
10427;клиент не_планирует пока кредитоватся;отказ
10428;нет_контактных данных телефон недоступен телефон сббол не_отвечает спарк автоответчик;нет контактов
10429;пока отказался кредитования предложено доверие;отказ
10430;встретиться клеинтом не_удалось территориально удален трубку не_берет;территориально
10431;залога нет_расчетная сумма оверу меньше устанвовленной продукту экспрессу не_можем;отказ
10432;не_инетерсует кредитование предлагал перед новым годом встрече начале недели;встреча
10433;потребности кредитных средствах нет;не нужен\не может\не хочет
10434;разговаривали встрече пятницу не_интересуют кредиты сменили минимальный;не нужен\не может\не хочет
10435;пока кредитование не_актуально;пока
10436;номер недоступен включается автоответчик возможно коммандировке перезвонить;нет контактов
10437;отказ нет_потребности лизинге;отказ
10438;клиент отказазлся справляются собственными средствами;не нужен\не может\не хочет
10439;расширение бизнеса не_планируется;не нужен\не может\не хочет
10440;нет_кредитование не_интересует;не нужен\не может\не хочет
10441;клиентом не_удалось свзяться указанным телефонам;нет контактов
10442;пока приобретать автотранспорт не_планируют решение принимается уровне_новосибирска собственник проживает;пока
10443;клиент хочет приобрести нежилое помещение;аренда
10444;встреча прошла позитивно занимается маркетинговыми сследованиями деятельности использует исключительно собственные активы не_кредитуется;не ведет деятельность
10445;данный момент не_интересно записал контакт;пока
10446;нет_потребности;не нужен\не может\не хочет
10447;не_интересуют заемные средства;не нужен\не может\не хочет
10448;клиента действующий кредит пока не_планирует кредитоваться;пока
10449;данный момент не_требуется;пока
10450;предложен лизинг автотранспорта нет_первоначального взноса авто;др продукт сб
10451;любовь михайловна пояснила занимаются управлением нежилым фондом также строительством продажей объектов недвижимсоти потребности кредитовании нет_приобретать новую технику не_планируют достаточно собственных средств клиента также гостиница проводится реконструкция окончанию интересен;не нужен\не может\не хочет
10452;лизинг не_интересует лизингом не_пользуется;др продукт сб
10453;трудная финансовая ситуация;не соответсвует требованиям
10454;кафе виктория продуктовые магазины нововоронеже году участвовали тендерах поставка продуктов питания детские сады участие тендерах не_планируется слов клиента очень невыгодные условия цена поставки фиксируется весть контракту сейчас потоянно происходит значительный рост кредитование не_планируется;не нужен\не может\не хочет
10455;кредитование клиента не_интересно стараются справляться собственными силами;не нужен\не может\не хочет
10456;занимается розничной торговлей ювелирнных украшений кредитовать банк данное не_залог могут предостваить товары обороте новым условиям такой залог не_берем;не нужен\не может\не хочет
10457;нет_поторебности продукте;не нужен\не может\не хочет
10458;приобрели газель счет собственных увеличение машин не_планируют;не нужен\не может\не хочет
10459;нет_потребности;не нужен\не может\не хочет
10460;отказ клиента нет_потребности кредитовании;отказ
10461;организация не_планирует кредитоваться ближайшее время;отказ
10462;организация планирует увеличение штата сотрудников потребности кредитовании не_возникает лизинг не_нужен;не нужен\не может\не хочет
10463;данный момент нет_необходимости;пока
10464;организация сама выдает кредиты обходится собственными;обратится сам
10465;руководитель живет границей конце направлено госзаказ;нет на месте
10466;клиент взаимосявязан поиск сеть магазитнов бытовой техники электроники не_сегмент;отказ
10467;назначен звонок;звонок
10468;кредитование сейчас не_требуется;не нужен\не может\не хочет
10469;клиента заинтересовал лизинг почту отправлено предложение клиент записал контакты после выбора автомобиля созвонится также отправлен рассчет лимит овердрафта;нет контактов
10470;клиента заинтересовал лизинг почту отправлено предложение клиент записал контакты после выбора автомобиля созвонится также отправлен рассчет лимит овердрафта;нет контактов
10471;отпуске;не ответили
10472;подойдет документами кредитование интресует залога;отказ
10473;нет_потребности;не нужен\не может\не хочет
10474;плохая;не соответсвует требованиям
10475;группа компаний аквилон кредитование;группа компаний
10476;переговоры проведены отказ клиента текущей потребности кредитовании нет;не нужен\не может\не хочет
10477;кредит клиенту интересен проведена консультация взято согласие обработку персональных данных целью верификации назначен повторный звонок;клиент согласен на
10478;потребности кредитных средствах клиента нет_обходится собюственными средствами;не нужен\не может\не хочет
10479;не_нуждается кредитах достаточно собственных средств имеет точек;не нужен\не может\не хочет
10480;кредитованию настроен очень негативно сказал полностью обходится своими средствами;не нужен\не может\не хочет
10481;получена обдумает предложение;интересует
10482;ответил директор андрей александрович передаст управляещему компании завтра перезвонить уточнить решили возможности договориться встрече;звонок
10483;назначить задачу действующего;дубль
10484;клиенту интересны готов сотрудничать сбербанком;отказ
10485;состоялись переговоры александром анатольевичем предложил клиенту продукты кредитования получил отказ причине_достаточно собственных средств принял документы внесение изменений смена печати организации;отказ
10486;консультация;не отработана. перенесена
10487;данной компании деятельность прекращена открыто новое лицо обслуживается сбербанке;не ведет деятельность
10488;клиенту направлена информация почту лизингу автомобили покупать не_планируют;не отработана. перенесена
10489;не;не нужен\не может\не хочет
10490;клиента негатив ушел рсхб счет закрыт;счет закрыт
10491;задолженность бюджетом более;казн. + бюджет
10492;отказ нет_потребности;отказ
10493;отказ;отказ
10494;иное кредитование не_рассматривают данный момент;пока
10495;клиента имеется действующий кредит дополнительном финансировании не_нуждается планирует прекратить деятельность;не ведет деятельность
10496;помещение аренде выкупать не_планируют центре городе;аренда
10497;отказ клиенту не_требуется финансирование приобретение транпорта оборудования;не нужен\не может\не хочет
10498;клиент готов рассмотреть предложения банка повторной встрече сейчас нет_времени обдумать вопрос позволнить повторно пригласить повторную встречу;отказ
10499;кредит платят;есть кредит
10500;сегмент холдинг группа ангажемент;группа компаний
10501;отказ нет_потребности;отказ
10502;связные кристал протек кредитование компанию кристал стахеева;отказ
10503;отказ кредит;отказ
10504;клиенту не_интерен кредит;есть кредит
10505;смена;не нужен\не может\не хочет
10506;телефон недоступен;нет контактов
10507;кредит не_интересен;есть кредит
10508;потребность нет_определенностей именно нужны;не нужен\не может\не хочет
10509;связи этим кредиты стараются не_использоваться;нет контактов
10510;клиент данный момент отсут черте страны потре нет;пока
10511;нет_потребности кредитовании достаточно собственных средств;не нужен\не может\не хочет
10512;контакты клиент записал случае необходимости обратятся;нет контактов
10513;условиями ознакомлен направлено рассмотрение директора повторно звонок;звонок
10514;клиент не_планирует кредитоваться;отказ
10515;покупку новых не_планируют кредитовании потребности нет_депозиты курсе пока размещать нечего оставила контакты связи;нет контактов
10516;клиент ответил нет_потребности обротится отделение;не разговаривают
10517;отсутсвует месте согласно данных спарка сообщения принятии решения ликвидации вестник государственной регистрации;клиент согласен на
10518;взаимосвязанной организации рассматривается заявка филиале ново ростовское;отказ
10519;не_очень хорошее финансовое положение;не соответсвует требованиям
10520;потребности продукте лизинг нет;не нужен\не может\не хочет
10521;настоящеее время клиента нет_потребности кредитовании бизнеса;не нужен\не может\не хочет
10522;данный момент нет_необходи;пока
10523;нет_потребности покупке авто решеает вопрос покупкой недвижимости;не нужен\не может\не хочет
10524;ломбард стоп фактор коду оквэд возможно будут рассматривать след году;ошибка выборки
10525;повторная встреча;встреча
10526;счет клиента закрыт;счет закрыт
10527;не_устр ставки;дорогие тарифы
10528;сейчас действующих кредита общую сумму остатка около поэтому кредитовании пока не_нуждается;есть кредит
10529;отказ нет_потребности;отказ
10530;абонент не_доступен;не разговаривают
10531;маргарита компания занимается грузоперевозками пользуются кредитование не_интересно не_работают возникнет_потребность кредитовании свяжутся;не ведет деятельность
10532;абанент недоступен;не ответили
10533;оптовая торговля пищевыми продуктами включая напитки табачными изделиями данный момент большая долговая нагрузкав виде кредита кредитование пока не_планирует условия лизинга озвучены иметь ввиду;пока
10534;пока нет_потребности;пока
10535;клиент оказывает услуги кредит не_нужен обходятся собственными средствами;не нужен\не может\не хочет
10536;организация занимается установкой сантехники новых домах данный момент идет заключение договоров новыми покупателями возможно средства сумме понадобятся закуп товара изготовления данных заказов собственности здания рыночной стоимостью предложен продукт бизнес оборот случае потребности клиент подойдет встречу оставлен контактный телефон лизинг не_интересует;нет контактов
10537;данный момент не_актуально;пока
10538;кредитование не_интересует;отказ
10539;не_планирует сейчас;не нужен\не может\не хочет
10540;клиенту отказывают плохая кредитная история;не соответсвует требованиям
10541;данный клиент не_нуждается кредитовании данный клиент занимается охранной деятельностью основной расход идет зарабатную плату;др продукт сб
10542;отказ клиент опасается брать кредиты нынешней ситуации;отказ
10543;отказ потребности кредитовании нет;не нужен\не может\не хочет
10544;;не нужен\не может\не хочет
10545;нет_потребности;не нужен\не может\не хочет
10546;нет_потребности;не нужен\не может\не хочет
10547;функционал;км
10548;пресейл выявление потребности кредитованию;не нужен\не может\не хочет
10549;нет_потребности кредитн лизинге;др продукт сб
10550;марте заедет подробнее узнать;отказ от реструктуризации
10551;нет_потребности кредитовании;не нужен\не может\не хочет
10552;встерече клиент заинтересовался лизингом легковой авто посоветуется втором собственником который сейчас находиться санкт петербурге конференции возможно будут приобретать оборудование кредит;отказ
10553;весной клиента заканчивается погашение кредита предварительная встреча вторую половину;встреча
10554;не_нужно;не нужен\не может\не хочет
10555;отказ клиента нет_потребности продукте кредиты не_интересуют работают счет собственных средств;отказ
10556;михаил компания занимается издательской деятельность сбербанке кредит компания полном обслуживании банке райфайзен сбербанка переходить пока не_планируют;не ведет деятельность
10557;кредиты не_нужны размещает депозиты;не нужен\не может\не хочет
10558;занимаются сдачей недвижимости аренду кредитование сейчас не_интересно контакты оставила;род деятельности
10559;кредит планируют оформить летом;пока
10560;данный момент не_планируется привлечение средств;пока
10561;отказ тяжело платить действующий кредит клиент занимается розничной торговлей продуктами питания магазина текущий кредит интересует нему досрочное погашение новом кредите речи идти не_тяжело платить;дорогие тарифы
10562;финансовый директор сообщила головной офис находиться москве поэтому кредит получают именно отказ;голов. комп
10563;готовы оформить заявку;пока
10564;готовы оформить заявку;пока
10565;виктор иванович учредитель обращался тенгизу нска рестр;мусор
10566;клиента интересует кредит сумме покупку жилой недвижимости встречу не_согласилась попросила просчитать переговорить телефону маленький ребенок не_позволяет данный факт приехать банк платеж устроил больше интерсует районе_желают также воспользоваться материанским капиталлом счет погашения первоначального взноса условия продукта рассказала процент напугал клиента сейчас будут думать более привлекает оформление ипотеки причине_меньшей ставки назначить контрольный звонок;не нужен\не может\не хочет
10567;пока кредиты не_нужны;пока
10568;отказ лизинг нет_потребности покупке нового;отказ
10569;обсуждение вариантов кредитования;отказ
10570;компания занимается бизнесом высокие риски;не ведет деятельность
10571;предложен лизинг кредитование эквайринг;др продукт сб
10572;предложен лизинг кредитование эквайринг;др продукт сб
10573;татьяна клиент рассчитался овер назначена встреча робканова кирсанова группа компаний;группа компаний
10574;клиент покане_планирует брать деньги банке;надежда есть
10575;кредитование не_заинтересованы думаем ситуация стране_не_стабильная;отказ
10576;свои средства;не нужен\не может\не хочет
10577;телефон клиент не_отвечает необходимо позвонить другой;звонок
10578;пока нет_необходимости;пока
10579;пока потребности нет;не нужен\не может\не хочет
10580;не_планируют пока пнривлечение средств контакты оставлены;надежда есть
10581;направлено предложение лизингом не_пользуются;не отработана. перенесена
10582;кредитование пока не_актуально;пока
10583;переговоры бухгалтером данный момент не_работает уволилась дала стационарный телефон телефон время занят след контакт;нет контактов
10584;организация не_кредитуется обхоодятся собственными средствами;не нужен\не может\не хочет
10585;настоящеее время клиента нет_потребности кредитовании бизнеса;не нужен\не может\не хочет
10586;нет_потребности приобретении эквайрингу не_интересует не_розничная торговля;оптовая торговля
10587;сделать расчет овердрафту;не нужен\не может\не хочет
10588;боятся не_смогут платить не_хотят портить кредитную историю нет;дорогие тарифы
10589;сказанный номер отключен других контактов нет;нет контактов
10590;нет_потребности данный момент;пока
10591;данный момент нет_желания брать кредит;пока
10592;необходимо повторно встретиться клиентом;не нужен\не может\не хочет
10593;нет_потребности заемных средствах;не нужен\не может\не хочет
10594;клиента действующий кредит сбербанке сумме новом потребности нет_тендерах не_участвует возникновении потребности иметь ввиду;не нужен\не может\не хочет
10595;интерес руководитель подъедет консультацию;нет на месте
10596;кредитование не_актуально;отказ
10597;настоящеее время клиента нет_потребности кредитовании бизнеса;не нужен\не может\не хочет
10598;кредиты не_требуются пользуются средствами;не нужен\не может\не хочет
10599;клиент сказал свои пока средства залоговый кредит не_интересен не_предоставить залог патенты не_недвижимости детей машины годом выпуска подходящим данного кредитования кредита доверие основной оквэд растиениводство не_подходит;отказ
10600;клиентом были проведены переговоры кредитованию ранее деятельности который не_кредитуется руководителя учредителя плохая кредитная история;не соответсвует требованиям
10601;данной не_кредитуются кредиты берут группу закреплена кочуевой;не ответили
10602;отказ нет_потребностьи сезонная ремонт техники не_планирует приобретать ближайшее время;отказ
10603;словам клиента нестабильное время кредитование не_интересует;отказ
10604;отказ тяжелое финансовое время тяжело не_понятно настоящее время тендерах редко участвуют;отказ
10605;клиентом проведены переговоры кредитованию отправлены паспортные данные верификатору назначена встреча заполнения данных;встреча
10606;клиент уведомлен;не отработана. перенесена
