;Unnamed: 0;TEXT;class
3161;3286;назначена встреча кредитованию;встреча
3163;3288;получена устная договоренность встречу;встреча
3164;3289;ушел обслуживание альфа банк продуктов сбербанка эквайринг;др банк
3165;3291;встреча;встреча
3166;3292;интересен лизинг;не нужен\не может\не хочет
3167;3293;клиента нет_потребности кредитовании каких либо других продуктах банка;не нужен\не может\не хочет
3168;3294;встреча;встреча
3169;3295;назначена встреча;встреча
3170;3296;планируется закрыть данное предприятие сейчас готовятся документы феврале счет закрыт информация вестнике;не ведет деятельность
3171;3297;данный момент карта не_нужна встречу можно юудет приехать позже феврале;пока
3172;3298;номеру ответила контактное лицо ольга сообщила занимается платежами руководитель границей не_знает вернется;не ответили
3173;3299;совершить повторный звонок;звонок
3174;3300;деят созд информ инвестинформ информаправо плюс информинвест консультантрегион информправо информправо консультантплюсбашкортостан более закрыли встречи отказ тами не_польз овердрафт не_рассчит нет_входит информправо плюс закр повт не_готов сотр;не ведет деятельность
3175;3301;настоящее время не_снимают наличные денежные средства нет_потребности;не нужен\не может\не хочет
3176;3302;назначена встреча не_территории банка;встреча
3177;3303;сигаев олег михайлович сейчас находится заграницей вернется после подойти встречу повторный звонок занимается оптовой косметикой парфюмерией;оптовая торговля
3178;3304;закрыт комплайнс;ошибка выборки
3179;3305;назначена встреча место банк;встреча
3180;3306;назначена встреча;встреча
3181;3307;контактные телефоны мобильный гендира ответила женщина сказала номер частный городскому ответа нет;нет контактов
3182;3308;назначена сделка;сделка
3183;3309;нет_потребности кредитовании;не нужен\не может\не хочет
3184;3310;встреча открытия обсуждения условий кредитованию;встреча
3185;3311;назначена встреча после обеда;встреча
3186;3312;клиент отказался встречи продукты банка не_интересуют моисеев алексей михайлович производство вина лизинг не_интересует собственный транспорт новый покупать не_планирует привлечение средств клиенту депозиты не_актуальны особо много средств счету нет_основном обороте;отказ
3187;3314;директора нет_месте представитель клиента просит перезвонить;звонок
3188;3315;назначена встреча;встреча
3189;3316;встреча;встреча
3190;3317;клиенту предложено кредитование явных потребностей денежных средствах нет_обдумает гарантия не_требуется необходимоперезвонить следующей неделе;не нужен\не может\не хочет
3191;3318;произведен звонок клиенту позвонить клиенту уточнить встретимся клиент готов пообщаться;звонок
3192;3319;клиента подключен откредитования отказались счетах сосредоточены;подключен
3193;3320;встреча место клиент информация бизнесе торговля автотранспортными средствами результат данная компания относится группе компаний динамика годовой выручкой более категорический отказ руководителя представителей встречи ссылаясь устраивает кредитование не_подходит условиям зарплатный проект другие продукты также не_интересны план действий следующая встреча политике контактов месяца;отказ категорический
3194;3322;встреча представителем конт лицо мира;встреча
3196;3324;директора месте нет_находится командировке назначена встреча бухгалтером мариной;встреча
3197;3325;встреча проведена территории банка клиента не_интересует эквайринг занимаются оптовой торговлей датчиками противопожарной системы кредитование также не_интересует причине_достаточности собственных средств консультация проведена всем действующим продуктам банка возможно заинтересует лизинг летом случае либо потребности обратятся контактами обменялись;род деятельности
3198;3328;договоренность звонке середине_кредитование клиента не_интересует каком виде эквайринг клиенту не_нужен виду деятельности;не ведет деятельность
3199;3329;достаточно собств средств;не нужен\не может\не хочет
3200;3330;данной организации нет_потребности установки эквайринга деятельность грузоперевозки депозиты также не_интересны средства всегда обороте страхованию предложено застраховать авто парк клиент взял внимание данный момент застраховано;не ведет деятельность
3201;3331;назначена встреча;встреча
3202;3332;клиентом двум компаниям проводилась встреча банке кредитованию договоренность повторной встрече;встреча
3203;3333;прект закючен эквайринг не_актуален финансирование не_интересно;др продукт сб
3204;3334;консультация клиента кредиту доверие договоренность встрече клиент сказал сейчас сдавать отчетность посмотрит какая декларация выйдет прошлый клиент подавал кредит получил отказ убыточный баланс;не нужен\не может\не хочет
3205;3335;клиенту назначена встреча;встреча
3206;3336;клиент находится стоп листе приостановления;ошибка выборки
3207;3337;звонок назначения встречи директору результате данному номеру ответил юлия пояснила данная организация деятельности не_ведет настоящий момент рассматривается вопрос ликвидации просто спящая пока не_решили стоял нашего банка ближайшее время снимут;не ведет деятельность
3208;3338;директору передали номер телефона менеджера позвонит назначим встречу;нет контактов
3209;3339;неоднократно совершались звонки данной организации клиент отказывается встречи территории банка территории клиента связи руководитель заблокирован;отказ
3211;3341;клиент не_соответствует минимальным требованиям продукту;не соответсвует требованиям
3212;3343;назначена встреча;встреча
3213;3344;результат деятельность кредитных средств клиент отказывается принципиально тому потребностей особых нет_хватает своих не_интересует сотрудникам выплачивают налично кассы план действий повторный прозвон клиента привлечение рамках политики контактов;звонок
3214;3345;клиентом работает курочкина закрепление холдинга;голов. комп
3215;3346;решетченко игорь владимирович кредитная заявка связанной компании рассматривается данной овердрафт не_рассчитывается доля крупнейшего контрагента более маркет размещение средств данный момент не_актуально не_держит остатки предложен продукт карт бланш назначена встреча;встреча
3216;3347;клиент находится стоп лист кодом переведена архив;ошибка выборки
3217;3348;организация входит конечным собственником бизнеса является супруг кренц продуктовые предложения банка клиента не_интересуют редположения выручка выше;счет есть сб
3218;3349;назначена встреча;встреча
3219;3350;говорила светланой игоревной клиентка сообщает кредитование не_интересно поводу не_отказываются ответа прямого не_дают;не ответили
3220;3351;обсудили параметры предложения данный момент новых выигранных тендеров нет_после подведения итогов обратятся работали раньше альшевской татьяной поддерживают связь своевременной работы бухгалтером организации услуги чопа средний оборот месяц данной компании входят троян;не разговаривают
3221;3352;настоящее время не_нуждается кредитных средствах эквайринг установлена первомайский;не нужен\не может\не хочет
3222;3353;звонок рамках компании продаж звонку генеральному директору степановой татьяне_викторовне_назначена встреча;встреча
3223;3354;разгвоаривал замом кредитование компания не_рассматривает овер оборот лизинг говорит справляется своими средствами кредиты влазить не_будут;не нужен\не может\не хочет
3224;3355;данный момент находится отпуске заграницей перезвонить звонки не_отвечает перезвонить;звонок
3225;3356;клиент решил закрыть расчетный счет ликвидировать встреча подписания заявления состоится;встреча
3226;3357;назначена встреча;встреча
3227;3358;контакт кондратьева мария александровна отказ всех перечисленных задаче продуктах оборотное кредитование инвестиционное кредитование банковская гарантия других которых нет_потребности кредитовании нет_объяснила руководитель предприятия нет_будущего скором времени активы перейдут областной водоканал который осуществлять деятельность водоснабжению водоотводу ресурс расформируется срок произойдёт руководитель сказать не_смогла скоро;отказ
3228;3359;назначена встреча;встреча
3229;3360;назначена встреча;встреча
3230;3361;клиента действующий кредит супруга ушакова данный вопрос актуален откроют программу прокредитоваться льготным условиям;условия
3231;3363;не_берет трубку звонок проходит звонок не_первый;звонок
3232;3364;клиентом достигнута договоренность встрече;встреча
3233;3365;финансирование не_хочет справляется своими силами сотр считает нерентабельно клиент имеет контакты курсе всем продуктам случае потребности позвонит просил лишний не_беспокойтить;не нужен\не может\не хочет
3234;3366;счет закрыт;счет закрыт
3235;3367;клиента действующий лимит кредита финансирование не_актуально;отказ
3236;3368;клиент попросил перезвонить данный моент активно участвуют тендерах заняты назначен повторный звонок;звонок
3237;3369;розничный магазин стройматериалов долррес ибаррурри назначена встреча интересен интернет_эквайринг;встреча
3238;3370;клиент закреплен другим;др банк
3239;3371;директор организации находится территориально липецке всем вопросам обращается местное;территориально
3240;3372;кредитные продукты не_интересуют;отказ
3241;3373;овердрафт не_рассчитывается другим продуктам кредитным потребности нет_лизингу также;др банк
3242;3374;клиента действующий овердрафт сегодняшний день клиента нет_потребности банковских продуктах лизинг не_интересует приобрел новый автомобиль;не нужен\не может\не хочет
3243;3375;клиент лояльно астроен банку идет сбор пакета документов;сделка
3244;3376;алексей учредитель деятельность связана оптовой торговлей камня штате оборотов практически нет_открыли второю компанию аврост счет сбербанке обслуживаются около электрозаводская переговорили кредитование первой компании счету нет_оборотов планируют закрыть вторая вновь созданная планируется ликвидация;оптовая торговля
3245;3377;сербина алена клевцур наталия георгиевна бухгалтер контактный телефон gmail основной деятельности деятельность ресторанов кафе выручка компании спарк выручка компании слов клиента каких банках обслуживается сбербанк какими продуктами пользуется основные условия эквайринг предложенные продукты банка лизинг кредитование предложение лизинга комментарий звонка директор каждый день месте общалась бухгалтером натальей георгиевной встретиться не_против;др продукт сб
3246;3378;лобарев андрей владимирович генеральный директор торговля оптовая компьютерами периферийными устройствами компьютерам программным обеспечением клиенту направлено запланирована встреча;оптовая торговля
3247;3379;клиентом назначена встреча;встреча
3248;3380;интерес встрече обсуждения сотрудничества назначен повторный звонок клиенту уточнения;звонок
3249;3381;эквайринг не_актуален работает основном лицами лизинг данный момент не_интересует планируется встреча клиентом офисе проговорим кредитование лизинг;др продукт сб
3250;3382;клиент октябре месяце прокредитовался сумму риск актив ставку пока потребности нет;есть кредит
3251;3383;назначена встреча;встреча
3252;3384;клиентом обсуждалась возможность предоставления банковской гарантии;не нужен\не может\не хочет
3253;3386;ликвидирована счет закрыт;ликвидация
3254;3387;приглашен встречу;встреча
3255;3388;клинт занимается розничной торговлей категорически отказывается страхования назначена встреча предложения смарт терминала эвотор;встреча
3256;3389;встреча;встреча
3257;3391;подавали заявку лизинг отказано банком;отказ
3258;3392;корп карта не_нужна совершает безналичные операции финансировании не_нуждаются;др продукт сб
3259;3393;назначна встреча;встреча
3260;3394;клиент отказался страхования подряды исполняются разными задействованных производстве нет;отказ
3261;3395;подумают выпуском корп карты назначены повторные телефонные переговоры бухгалтером организации;переговоры
3262;3396;назначена встреча;встреча
3263;3397;назначена встреча;встреча
3264;3398;назначена встреча;встреча
3265;3399;назначена встреча ориентировочно предварительный звонок;встреча
3266;3400;назначена встреча офисе клиента;встреча
3267;3401;назначена встреча;встреча
3268;3402;директор светлана кредитование не_интересует форме эксплуатация жилых домов своих средств достаточно не_нужна наличными не_снимают никогда необходимости бывает редко перечисляют карту отчет;не нужен\не может\не хочет
3269;3403;клиент не_кредитуется потребности нет_интересно предложение зарплатному проекту сейчас бухгалтер отпуске феврале уезжает отпуск директор возвращается начале назначена встреча также предложить клиенту лизинг кредит;др продукт сб
3270;3404;переговоры клиентом проведены данный момент потребности кредитовании нет_страхование жизни клиента оформлено корпоративная карта не_нужна клиент не_снимает средства кредитование;не нужен\не может\не хочет
3271;3405;переговоры директором волковым борисом владимировичем согласована встреча предварительно позвонить согласования времени;клиент согласен на
3272;3406;назначена встреча;встреча
3273;3407;клиент ранее подавал заявку кредит пришел отказ негативно настроен банку;не лоялен 
3274;3408;полиграфторг крикунова марина николаевна разговаривал людмилой бухгалтер торговля оптовая бумагой картоном выручка оставил контакты бухгалтеру связался не_месте нет;оптовая торговля
3275;3409;клиенту назначена встреча проведения переговоров;встреча
3276;3410;всех системах указаны некорректные контакты клиенту не_смогли дозвониться протяжении двух недель;нет контактов
3277;3411;звонок клиенту номеру валерий асланович находится отпуске назначен повторный звонок;звонок
3278;3412;клиент готов встретиться обсуждения дальнейшего сотрудничества офис находится москве договоренность повторном звонке сообщит удобно;территориально
3279;3413;данный момент используют банковскую гарантию стороннем банке;др банк
3280;3414;назначена встреча;встреча
3281;3415;генеральный директор отпуске позвоните чила;не ответили
3282;3416;кредитование не_интересует обслуживание устраивает встречу не_готова очень занята;встреча
3283;3417;данные телефоны выключены длительное время связаться организацией не_удается не_берут трубку идут гудки;нет контактов
3284;3418;декабре года клиенту выдан кредит месяц клиент закрыл досрочно более потребности кредитных средствах клиента нет_использовании клиента нет_потребности;не нужен\не может\не хочет
3285;3419;проведена встреча представителем организации рассчитывается овердрафт учредитель проживает петербурге череповце бухгалтер данный момент нет_потребности финансировании;не рассчитывается
3286;3420;кредитование пока не_нужно;пока
3287;3421;клиентом назначена встреча;встреча
3288;3422;зарплатный проект необходимо обсудить работниками трудность сбербанк работает раза неделю потенциал кредитованию корп карте заключен договор одним контрагентом возникнет_необходимость кредитовании покупку станка дискового распила возможно возникнет_необходимость получении корп карты;др продукт сб
3289;3423;информация бизнесе клиент ведет розничную торговлю промышленными товарами продуктами питания план действий предполагаемая дата встречи консультация продуктам клиенту предложить страхование invoicing зарплатный проект;др продукт сб
3290;3424;выезд;не нужен\не может\не хочет
3291;3425;недозвон клиента клиент активный нового года планировали кредитоваться;отказ
3292;3426;встреча директором сергей александровичем бухгалтером встреча прошла территории клиента данная организация относится малому бизнесу части техническая компания выявлена связь компанией полинефтехим сегмент крупного бизнеса выручка млрд имеется кредитная линия овердрафт корп карта услугами пользуются исключительно сбербанке;встреча
3293;3427;клиентом назначена встреча;встреча
3294;3428;баканов владимир валентинович генеральный директор нет_ответа просил перезвонить;звонок
3295;3429;назначена встреча предварительный звонок подтверждения встречи;встреча
3296;3430;встреча банке;встреча
3297;3431;звонок клиентом кузнецов артем эдуардович должность руководитель место встречи офис банка телефон клиента повод активности привлечение кредитование предложено бизнес инвест назначена встреча дата назначенной встречи;встреча
3298;3432;давыдкин александр_андреевич генеральный директор телефон titan group inbox клиенту озвучена линейка банковских продуктов интересно оборотное кредитование перспективе рассмотрят более крупную сумму залог транспортного средства;отказ
3299;3433;назначена встреча руководителем андрей сергеевичем завтра;встреча
3300;3434;назначена встреча;встреча
3301;3435;клиента проконсультирован думает кредитованию;интересует
3302;3436;клиента не_заинтересовала страхование заинтересовал зарплатный проект назначена встреча;встреча
3303;3437;результат звонили указанным номерам предложением кредита овердрафта указанный человек не_является директором компании находится другом районе_действующие контакты компании подсказать не_смог направлен поиску актуальных контактов план действий назначен повторный звонок после поиска контактов;нет контактов
3304;3438;назначена встреча;встреча
3305;3439;эквайринг не_нужен кредитами не_пользуются;отказ
3306;3440;клиент закрыл расчетный счет;счет закрыт
3307;3441;страхование не_предлагать религиозных соображений;др продукт сб
3308;3442;овер не_расчитывается встреча место банк информация бизнесе разработка софт сферы управления недвижимостью выручка результат продукты сббол клиенту предложены след продукты кредитование лизинг отказ сейчас активной работы нет_работают действующим контрактам заключенным году возможно дальнейшую перспективу клиент иметь виду кредитование лизингу отказ нет_потребности покупке авто клиенты не_активно пользуются данным софтом связи этим особой работы сейчас клиент;безналичный
3309;3443;клиенту актуален вопрос кредитования уточнение информации возможности получения кредита лицо учредитель компании назначен звонок назначения встречи проект обсудят учредителями;звонок
3310;3444;встреча руководителем глотовым александром николаевичем предложен эквайринг эквайринг не_актуален лицами не_работает занятий строительные работы ремонт мелкие склады подрядчик газпром контрактная система выполнения работ выявлена потребность кредитовании оборотные средства твердого залога нет_предложен продукт бизнес контракт выдан список сбора документа запрошены контракты текущие исполненные;встреча
3311;3445;назначена встреча;встреча
3312;3446;ведутся переговоры назначения встречи назначен повторный звонок;звонок
3313;3447;встреча банке;встреча
3314;3448;договорились встрече следующей неделе;звонок
3315;3449;финансовый директор гречихина встреча территории офиса банка клиент кредитуется составе группы ганбаров овердрафт пока потребность отсутствует корпоративная карта отказ нет_потребности руководителя множество карт вопрос контроля важен операций предприятия данная не_нужна продукты привлечения денежные средства обороте вкладыванием денег оборот клиент зарабатывает больше размещением банковские депозиты отказ нет_потребности;отказ
3316;3450;георгий владимирович просил перезвонить;звонок
3317;3451;клиентом назначена встреча продукту invoicing;встреча
3318;3452;назначена встреча;встреча
3319;3453;клиент просил перезвонить назначен повторный звонок;звонок
3320;3454;встреча;встреча
3321;3455;ошибка выборки клиента клиент закреплен ключевым;дубль
3322;3456;назначена встреча;встреча
3323;3457;назначена встреча клиентом обсуждения программы кредитованию поддержкой встреча состоится клиент не_сможет приехать встречу назначен повторный звонок;встреча
3324;3458;генеральный директор находится не_москве назначена встреча приезду;встреча
3325;3459;роведены переговоры клиентом данная услуга не_актуальна деятельность услуги;не ведет деятельность
3326;3460;лизинг страхование наст момент не_интересно согласен заключить зарп проект карту заявление подписано;клиент согласен на
3327;3461;кредитовать не_можем клиенту предложен инвойсинг депозит бухгалтер не_хочет рассматривать предложение повторный звонок общения;звонок
3328;3462;кирнарский яков александрович находится отпуске границей назначен новый звонок;звонок
3329;3463;звонок клиенту машины ресурсы руководитель сиротцкий результат назначена встреча;встреча
3330;3464;назначен повторный звонок клиенту не_удобно говорить повторный звонок;звонок
3331;3466;договорились встрече вторник предварительно позвонить понедельник уточнить время;звонок
3332;3467;получен отказ клиента прредложенных продуктов отказ страхования;отказ
3333;3468;проведены переговоры данный момент тендерах не_участвуют нет_потребности заключен мере окончания клиент планирует определенную сумму;пока
3334;3469;левандовский александр_андреевич контактный телефон основной деятельности производство приборов ночного видения тепловизор выручка компании спарк выручка компании слов клиента каких банках обслуживается сбербанк какими продуктами пользуется сббол предложение лизинга нет_предложение факторинга нет_предложенные продукты банка оборотное инвестиционное кредитование лизинг комментарии клиента общался александром андреевичем итоги звонка клиент готов организовать встре;др продукт сб
3335;3470;выпучка группе больше;не разговаривают
3336;3471;встреча место банк информация бизнесе финансовый консалтинг результат овердрафт не_рассчитался договорились оформление январе операций не_заключают договор организацией питера след недели планируют начать работу также размещать депозиты кредитовании нет_потребности тендерах не_участвуют одна организация деятельность не_ведется скорее всего закроют план действий подписать заявление заказ отследить выдачу оформление депозитов;безналичный
3337;3472;клиент не_пользуется кредитными средствами работают предоплате частичной всегда контролируют сроки выплат расширения не_планируют автопарк не_требуется помещение не_требуется работают лицами расчетный счет эквайринг не_требуется страхование не_требуется помещение не_оформлено собственность аренду;аренда
3338;3473;лимит клиент согласился ввод заявки транзакт;клиент согласен на
3339;3474;средствах не_нуждаются обходятся своими средствами расширение не_планируют;не нужен\не может\не хочет
3340;3475;назначена встреча;встреча
3341;3476;вопрос кредитования не_стоит занимаются оказанием услуг уборке территорий лицами не_работают эквайринг не_подходит интересует размещение средств направлено предложение;род деятельности
3342;3477;ответила алина сергеевна руководитель учредитель одном лице встречаться не_видит смысла также озвучила будут закрывать организацию расчетный счет просила больше не_беспокоить;не ведет деятельность
3343;3478;назначена встреча;встреча
3344;3479;общалась артемом инженер сметчик организация занимается строительно монтажными работами основной заказчик магнит ремонт помещений сотрудников штате остальные подрядные адрес ватутина не_пользуются корп крата не_понадобилась открыт вопрос кредитования контакты обратятся необходимости;нет контактов
3345;3480;клиент входит база стандарт евдокимов;не нужен\не может\не хочет
3346;3481;встреча клиентом проведена территории клиента деятельность организация ведет года занимается санитарной обработкой помещений крыс мышей тараканов клиент пользуется основными услугами банка сббол рассказано специальные условия кредитования смарт кредит потребность кредитовании лизинге отсутствует тендерах принимает участие договора обходятся собственными средствами расчеты производят расчетный счет страхование отказ нет_потребности;счет есть сб
3347;3482;телефон не_отвечает повторные звонки ежедневно трубку никто не_взял;не разговаривают
3348;3483;отказ встречи продуктов банка нового не_хотят общался георгием валерьевич полнейший негатив сбербанк связан обслуживания;не лоялен 
3349;3484;запланирован выезд;не нужен\не может\не хочет
3350;3485;встреча;встреча
3351;3486;не_интересна всегда обеспечивают собственными средствами не_интересен не_пользуются заемными средствами еинв бухгалтер подготовит скан снилс паспорта подключим;не нужен\не может\не хочет
3352;3487;встреча;встреча
3353;3488;назначена встреча;встреча
3354;3489;встреча результат встрече;встреча
3355;3490;любовь бухгалтер договоренность встреяче пожилая женщина плохо чувствует лучше подойдут числа;не нужен\не может\не хочет
3356;3491;савватеев александр_сергеевич организация занимается оптовой торговлей текстильными изделиями потребность кредитовании исходя потребностей клиента доступны залоговые программы необходимо время обдумать варианты залога напралена информация продуктам потребность кредитовании возникает периодически клиент просил перезвонить завтра первой половине;не нужен\не может\не хочет
3357;3492;назначена повторная встреча;встреча
3358;3493;встреча обуховой аллой викторовной деятельности грузоперевозки предложено кредитование лизинг пока не_интересует предложен идут перечисления пластик клиент согласен назначена сделка;сделка
3359;3495;клиенту интересно предложение лизингу кредитованию назначена встреча банке;встреча
3360;3496;клиент прекратил деятельность расчетный счет закрыт телефоны недоступны;не ведет деятельность
3361;3497;клиента;не нужен\не может\не хочет
3362;3498;клиенту предложен клиент думает;интересует
3363;3499;клиентом проведена декабре работа предмет получения кредита результатам рассмотрения отказ;отказ
3364;3500;клиент занимается розничной торговлей сдачей аренду собственных помещений реализована декабре страхование предложен продукт стабильный бизнес клиент взял время подумать более подробно ознакомится продуктом подключение запланировано эквайрингом клиент пользуется;аренда
